Name	Govdirectory URL	Type	Website	source_file
Cherkasy Oblast	https://www.govdirectory.org/ukraine/Q161808/	oblast of Ukraine	https://www.oblradack.gov.ua/	Ukraine
Chernihiv Oblast	https://www.govdirectory.org/ukraine/Q167874/	oblast of Ukraine	https://cg.gov.ua/	Ukraine
Chernivtsi Oblast	https://www.govdirectory.org/ukraine/Q168856/	oblast of Ukraine	https://bukoda.gov.ua/	Ukraine
Dnipropetrovsk Oblast	https://www.govdirectory.org/ukraine/Q170672/	oblast of Ukraine	http://www.adm.dp.gov.ua/	Ukraine
Donetsk Oblast	https://www.govdirectory.org/ukraine/Q2012050/	oblast of Ukraine	https://dn.gov.ua/	Ukraine
Ivano-Frankivsk Oblast	https://www.govdirectory.org/ukraine/Q178269/	oblast of Ukraine	https://www.if.gov.ua/	Ukraine
Kharkiv Oblast	https://www.govdirectory.org/ukraine/Q170666/	oblast of Ukraine	https://kharkivoda.gov.ua/	Ukraine
Kherson Oblast	https://www.govdirectory.org/ukraine/Q163271/	oblast of Ukraine	https://khoda.gov.ua/	Ukraine
Khmelnytskyi Oblast	https://www.govdirectory.org/ukraine/Q171331/	oblast of Ukraine		Ukraine
Kirovohrad Oblast	https://www.govdirectory.org/ukraine/Q180981/	oblast of Ukraine	http://www.kr-admin.gov.ua/	Ukraine
Kyiv Oblast	https://www.govdirectory.org/ukraine/Q170036/	oblast of Ukraine	http://www.kor.gov.ua/	Ukraine
Luhansk Oblast	https://www.govdirectory.org/ukraine/Q171965/	oblast of Ukraine		Ukraine
Lviv Oblast	https://www.govdirectory.org/ukraine/Q164193/	oblast of Ukraine	http://www.loda.gov.ua/	Ukraine
Mykolaiv Oblast	https://www.govdirectory.org/ukraine/Q181633/	oblast of Ukraine	http://www.mk.gov.ua/	Ukraine
Odesa Oblast	https://www.govdirectory.org/ukraine/Q171852/	oblast of Ukraine	https://oda.od.gov.ua/	Ukraine
Poltava Oblast	https://www.govdirectory.org/ukraine/Q169501/	oblast of Ukraine	http://www.adm-pl.gov.ua/	Ukraine
Rivne Oblast	https://www.govdirectory.org/ukraine/Q174187/	oblast of Ukraine	https://www.rv.gov.ua/	Ukraine
Sumy Oblast	https://www.govdirectory.org/ukraine/Q170446/	oblast of Ukraine	http://sm.gov.ua/	Ukraine
Ternopil Oblast	https://www.govdirectory.org/ukraine/Q173407/	oblast of Ukraine	http://www.oda.te.gov.ua/	Ukraine
Vinnytsia Oblast	https://www.govdirectory.org/ukraine/Q166709/	oblast of Ukraine	http://www.vin.gov.ua/	Ukraine
Volyn Oblast	https://www.govdirectory.org/ukraine/Q167859/	oblast of Ukraine	https://voladm.gov.ua/	Ukraine
Zakarpattia Oblast	https://www.govdirectory.org/ukraine/Q170213/	oblast of Ukraine	https://carpathia.gov.ua/	Ukraine
Zaporizhzhia Oblast	https://www.govdirectory.org/ukraine/Q171334/	oblast of Ukraine	https://www.zoda.gov.ua/	Ukraine
Zhytomyr Oblast	https://www.govdirectory.org/ukraine/Q40637/	oblast of Ukraine	http://zt.gov.ua/	Ukraine
Kyiv City State Administration	https://www.govdirectory.org/ukraine/Q11739162/	city with special status	https://kyivcity.gov.ua/	Ukraine
Sevastopol City State Administration	https://www.govdirectory.org/ukraine/Q16715714/	city with special status		Ukraine
Ministry for Communities and Territories Development of Ukraine	https://www.govdirectory.org/ukraine/Q11128145/	Ukrainian ministry	http://www.minregionbud.gov.ua/	Ukraine
Ministry for Reintegration of the Temporary Occupied Territories	https://www.govdirectory.org/ukraine/Q23939252/	Ukrainian ministry	http://mtot.gov.ua/	Ukraine
Ministry for Veterans Affairs	https://www.govdirectory.org/ukraine/Q60788833/	Ukrainian ministry	http://mva.gov.ua/	Ukraine
Ministry of Agrarian Policy and Food of Ukraine	https://www.govdirectory.org/ukraine/Q4294280/	Ukrainian ministry	https://agro.me.gov.ua/	Ukraine
Ministry of Culture and Strategic Communications of Ukraine	https://www.govdirectory.org/ukraine/Q67121433/	Ukrainian ministry	https://mkip.gov.ua/	Ukraine
Ministry of Defence of Ukraine	https://www.govdirectory.org/ukraine/Q2066149/	Ukrainian ministry	https://www.mil.gov.ua/	Ukraine
Ministry of Digital Transformation of Ukraine	https://www.govdirectory.org/ukraine/Q71327814/	Ukrainian ministry	https://thedigital.gov.ua/	Ukraine
Ministry of Education and Science of Ukraine	https://www.govdirectory.org/ukraine/Q4294532/	Ukrainian ministry	http://www.mon.gov.ua/	Ukraine
Ministry of Energy of Ukraine	https://www.govdirectory.org/ukraine/Q67117103/	Ukrainian ministry	http://www.menr.gov.ua/	Ukraine
Ministry of Environmental Protection and Natural Resources	https://www.govdirectory.org/ukraine/Q6866795/	Ukrainian ministry	https://mepr.gov.ua/	Ukraine
Ministry of Finance of Ukraine	https://www.govdirectory.org/ukraine/Q4294799/	Ukrainian ministry	http://www.minfin.gov.ua/	Ukraine
Ministry of Foreign Affairs of Ukraine	https://www.govdirectory.org/ukraine/Q4294403/	Ukrainian ministry	http://mfa.gov.ua/	Ukraine
Ministry of Healthcare of Ukraine	https://www.govdirectory.org/ukraine/Q4294367/	Ukrainian ministry	http://www.moz.gov.ua/	Ukraine
Ministry of Infrastructure of Ukraine	https://www.govdirectory.org/ukraine/Q4294418/	Ukrainian ministry	http://mtu.gov.ua/	Ukraine
Ministry of Internal Affairs of Ukraine	https://www.govdirectory.org/ukraine/Q2445140/	Ukrainian ministry	http://www.mvs.gov.ua/	Ukraine
Ministry of Justice of Ukraine	https://www.govdirectory.org/ukraine/Q4294878/	Ukrainian ministry	http://www.minjust.gov.ua/	Ukraine
Ministry of Social Policy	https://www.govdirectory.org/ukraine/Q4294702/	Ukrainian ministry	http://msp.gov.ua/	Ukraine
Ministry of Strategic Industries of Ukraine	https://www.govdirectory.org/ukraine/Q97596420/	Ukrainian ministry	https://mspu.gov.ua/	Ukraine
Ministry of Youth and Sports of Ukraine	https://www.govdirectory.org/ukraine/Q12131521/	Ukrainian ministry	https://mms.gov.ua/	Ukraine
Міністерство розвитку громад, територій та інфраструктури України	https://www.govdirectory.org/ukraine/Q125471231/	Ukrainian ministry	https://mtu.gov.ua/	Ukraine
Autonomous Republic of Crimea	https://www.govdirectory.org/ukraine/Q756294/	region of Ukraine	https://rada.crimea.ua/	Ukraine
				Ukraine
Ministry of Agriculture and Fisheries	https://www.govdirectory.org/east-timor/Q96475169/	ministry of Timor-Leste	https://www.maf.gov.tl/tl/	East Timor
Ministry of Defense of East Timor	https://www.govdirectory.org/east-timor/Q25443468/	ministry of Timor-Leste	https://defesa.gov.tl/	East Timor
Ministry of Economic Affairs	https://www.govdirectory.org/east-timor/Q110819153/	ministry of Timor-Leste		East Timor
Ministry of Education, Youth and Sport	https://www.govdirectory.org/east-timor/Q96035143/	ministry of Timor-Leste	http://moe.gov.tl/pt/	East Timor
Ministry of Finance	https://www.govdirectory.org/east-timor/Q6866933/	ministry of Timor-Leste	https://www.mof.gov.tl/	East Timor
Ministry of Foreign Affairs and Cooperation	https://www.govdirectory.org/east-timor/Q85785727/	ministry of Timor-Leste		East Timor
Ministry of Health	https://www.govdirectory.org/east-timor/Q95214176/	ministry of Timor-Leste	http://www.ms.gov.tl/en	East Timor
Ministry of Higher Education, Science and Culture	https://www.govdirectory.org/east-timor/Q110639612/	ministry of Timor-Leste	https://mescc.gov.tl/	East Timor
Ministry of Justice	https://www.govdirectory.org/east-timor/Q95742870/	ministry of Timor-Leste	http://www.mj.gov.tl/	East Timor
Ministry of Parliamentary Affairs and Media	https://www.govdirectory.org/east-timor/Q110812449/	ministry of Timor-Leste		East Timor
Ministry of Petroleum and Minerals	https://www.govdirectory.org/east-timor/Q100793507/	ministry of Timor-Leste	http://mpm.gov.tl/en/	East Timor
Ministry of Planning and Territory	https://www.govdirectory.org/east-timor/Q110556228/	ministry of Timor-Leste		East Timor
Ministry of Public Works	https://www.govdirectory.org/east-timor/Q110647095/	ministry of Timor-Leste	https://mop.gov.tl/	East Timor
Ministry of Social Solidarity and Inclusion	https://www.govdirectory.org/east-timor/Q110552016/	ministry of Timor-Leste	http://mss.gov.tl/	East Timor
Ministry of State Administration	https://www.govdirectory.org/east-timor/Q110515519/	ministry of Timor-Leste	https://estatal.gov.tl/	East Timor
Ministry of Tourism, Trade and Industry	https://www.govdirectory.org/east-timor/Q25427311/	ministry of Timor-Leste	https://mtci.gov.tl/	East Timor
Ministry of Transport and Communications	https://www.govdirectory.org/east-timor/Q110182464/	ministry of Timor-Leste	http://www.mtc.gov.tl/	East Timor
Ministry of Veterans Affairs	https://www.govdirectory.org/east-timor/Q110812463/	ministry of Timor-Leste	https://www.macln.gov.tl/	East Timor
Ministry of the Interior	https://www.govdirectory.org/east-timor/Q96279373/	ministry of Timor-Leste	http://www.minterior.gov.tl/	East Timor
Ministry of the Presidency of the Council of Ministers	https://www.govdirectory.org/east-timor/Q110819177/	ministry of Timor-Leste		East Timor
Oe-Cusse Ambeno	https://www.govdirectory.org/east-timor/Q860639/	special administrative region in East Timor		East Timor
Aileu administrative post	https://www.govdirectory.org/east-timor/Q12874251/	administrative post of East Timor		East Timor
Ainaro administrative post	https://www.govdirectory.org/east-timor/Q17600814/	administrative post of East Timor		East Timor
Alas administrative post	https://www.govdirectory.org/east-timor/Q17800977/	administrative post of East Timor		East Timor
Atabae administrative post	https://www.govdirectory.org/east-timor/Q753027/	administrative post of East Timor		East Timor
Atauro administrative post	https://www.govdirectory.org/east-timor/Q20724749/	administrative post of East Timor		East Timor
Atsabe administrative post	https://www.govdirectory.org/east-timor/Q18681601/	administrative post of East Timor		East Timor
