"Name"	"Govdirectory URL"	"Type"	"Website"
"Federal Chancellery of Austria"	"https://www.govdirectory.org/austria/Q668916/"	"Bundesministerium"	"https://www.bundeskanzleramt.gv.at/"
""Federal Ministry for Arts, Culture, the Civil Service and Sport"	"https://www.govdirectory.org/austria/Q47012226/"	"Bundesministerium"	"https://www.bmkoes.gv.at/"
""Federal Ministry for Climate Action, Environment, Energy, Mobility, Innovation and Technology"	"https://www.govdirectory.org/austria/Q871765/"	"Bundesministerium"	"https://www.bmk.gv.at/"
""Federal Ministry for European and International Affairs"	"https://www.govdirectory.org/austria/Q642938/"	"Bundesministerium"	"http://www.bmeia.gv.at/"
""Federal Ministry of Agriculture, Forestry, Regions and Water Management"	"https://www.govdirectory.org/austria/Q122250542/"	"Bundesministerium"	"https://www.bml.gv.at/"
""Federal Ministry of Agriculture, Regions and Tourism"	"https://www.govdirectory.org/austria/Q1006388/"	"Bundesministerium"	"http://www.bmlfuw.gv.at/"
""Federal Ministry of Defence"	"https://www.govdirectory.org/austria/Q872173/"	"Bundesministerium"	"http://www.bmlvs.gv.at/"
""Federal Ministry of Education, Science and Research"	"https://www.govdirectory.org/austria/Q606227/"	"Bundesministerium"	"https://www.bmbwf.gv.at/"
""Federal Ministry of Finance"	"https://www.govdirectory.org/austria/Q877814/"	"Bundesministerium"	"https://www.bmf.gv.at/"
""Federal Ministry of Justice"	"https://www.govdirectory.org/austria/Q872203/"	"Bundesministerium"	"https://www.justiz.gv.at/"
""Federal Ministry of Labour and Economy"	"https://www.govdirectory.org/austria/Q113322850/"	"Bundesministerium"	"https://www.bmaw.gv.at/"
""Federal Ministry of Social Affairs, Health, Care and Consumer Protection"	"https://www.govdirectory.org/austria/Q1006368/"	"Bundesministerium"	"https://www.sozialministerium.at/"
""Federal Ministry of the Interior"	"https://www.govdirectory.org/austria/Q358589/"	"Bundesministerium"	"http://www.bmi.gv.at/"
""Burgenland"	"https://www.govdirectory.org/austria/Q43210/"	"federal state of Austria"	"https://www.burgenland.at/"
""Carinthia"	"https://www.govdirectory.org/austria/Q37985/"	"federal state of Austria"	"https://www.ktn.gv.at/"
""Lower Austria"	"https://www.govdirectory.org/austria/Q42497/"	"federal state of Austria"	"https://www.noe.gv.at/"
