"Name"	"Govdirectory URL"	"Type"	"Website"
"Permanent Representation of Belgium to NATO"	"https://www.govdirectory.org/belgium/Q121890194/"	"Belgian delegations"	"https://nato.diplomatie.belgium.be/"
""Permanent Representation of Belgium to the Council of Europe"	"https://www.govdirectory.org/belgium/Q121936940/"	"Belgian delegations"	"https://france.diplomatie.belgium.be/nl/vertegenwoordigingen-van-belgie-frankrijk"
""Permanent Representation of Belgium to the European Union"	"https://www.govdirectory.org/belgium/Q121890726/"	"Belgian delegations"	"https://europeanunion.diplomatie.belgium.be/"
""Permanent Representation of Belgium to the International Institutions in The Hague"	"https://www.govdirectory.org/belgium/Q122033668/"	"Belgian delegations"	"https://netherlands.diplomatie.belgium.be/nl/ambassade-en-andere-vertegenwoordigingen/andere-vertegenwoordigingen/permanente-vertegenwoordiging"
""Permanent Representation of Belgium to the OECD and UNESCO"	"https://www.govdirectory.org/belgium/Q121935709/"	"Belgian delegations"	"https://oecd-unesco.diplomatie.belgium.be/"
""Permanent Representation of Belgium to the OSCE"	"https://www.govdirectory.org/belgium/Q122037545/"	"Belgian delegations"	"https://viennaosce.diplomatie.belgium.be/"
""Permanent Representation of Belgium to the United Nations (New York)"	"https://www.govdirectory.org/belgium/Q122039761/"	"Belgian delegations"	"https://newyorkun.diplomatie.belgium.be/"
""Permanent Representation of Belgium to the United Nations in Geneva"	"https://www.govdirectory.org/belgium/Q122040840/"	"Belgian delegations"	"https://unitednationsgeneva.diplomatie.belgium.be/"
""Consulate General of Belgium in Atlanta"	"https://www.govdirectory.org/belgium/Q121791753/"	"Consulate General of Belgium"	"https://unitedstates.diplomatie.belgium.be/nl/ambassade-en-consulaten/consulaat-generaal-atlanta"
""Consulate General of Belgium in Guangzhou"	"https://www.govdirectory.org/belgium/Q121763029/"	"Consulate General of Belgium"	"https://china.diplomatie.belgium.be/nl/ambassade-en-consulaten/consulaat-generaal-guangzhou"
""Consulate General of Belgium in Hong Kong"	"https://www.govdirectory.org/belgium/Q121767961/"	"Consulate General of Belgium"	"https://hongkongmacau.diplomatie.belgium.be/"
""Consulate General of Belgium in Jerusalem"	"https://www.govdirectory.org/belgium/Q100325261/"	"Consulate General of Belgium"	"https://jerusalem.diplomatie.belgium.be/"
""Consulate General of Belgium in Los Angeles"	"https://www.govdirectory.org/belgium/Q121789723/"	"Consulate General of Belgium"	"https://unitedstates.diplomatie.belgium.be/nl/ambassade-en-consulaten/consulaat-generaal-los-angeles"
""Consulate General of Belgium in Lubumbashi"	"https://www.govdirectory.org/belgium/Q121779858/"	"Consulate General of Belgium"	"https://rdcongo.diplomatie.belgium.be/nl/ambassade-en-consulaten/consulaat-generaal-lubumbashi"
""Consulate General of Belgium in Montreal"	"https://www.govdirectory.org/belgium/Q121746849/"	"Consulate General of Belgium"	"https://canada.diplomatie.belgium.be/fr/ambassade-et-consulats/consulat-general-montreal"
""Consulate General of Belgium in Mumbai"	"https://www.govdirectory.org/belgium/Q121834816/"	"Consulate General of Belgium"	"https://india.diplomatie.belgium.be/nl/ambassade-en-consulaten/consulaat-generaal-mumbai"
""Consulate General of Belgium in New York"	"https://www.govdirectory.org/belgium/Q121792639/"	"Consulate General of Belgium"	"https://unitedstates.diplomatie.belgium.be/nl/ambassade-en-consulaten/consulaat-generaal-new-york"
""Consulate General of Belgium in Rio de Janeiro"	"https://www.govdirectory.org/belgium/Q113015727/"	"Consulate General of Belgium"	"https://brazil.diplomatie.belgium.be/pt-br/embaixada-e-consulados/consulado-geral-no-rio-de-janeiro"
""Consulate General of Belgium in Shanghai"	"https://www.govdirectory.org/belgium/Q121767305/"	"Consulate General of Belgium"	"https://china.diplomatie.belgium.be/nl/ambassade-en-consulaten/consulaat-generaal-shanghai"
""Consulate General of Belgium in São Paulo"	"https://www.govdirectory.org/belgium/Q121701046/"	"Consulate General of Belgium"	"https://brazil.diplomatie.belgium.be/nl/ambassade-en-consulaten/consulaat-generaal-sao-paulo"
""Consulate General of Belgium, Cape Town"	"https://www.govdirectory.org/belgium/Q121840831/"	"Consulate General of Belgium"	"https://southafrica.diplomatie.belgium.be/nl/ambassade-en-consulaten/consulaat-generaal-kaapstad"
""Consulate General of Belgium, Marseille"	"https://www.govdirectory.org/belgium/Q16507555/"	"Consulate General of Belgium"	"https://france.diplomatie.belgium.be/nl/ambassade-en-consulaten/consulaat-generaal-marseille"
""Consulate-General of Belgium in Istanbul"	"https://www.govdirectory.org/belgium/Q111584947/"	"Consulate General of Belgium"	"https://turkiye.diplomatie.belgium.be/nl/ambassade-en-consulaten/consulaat-generaal-istanboel"
""Federal Public Service Chancellery of the Prime Minister"	"https://www.govdirectory.org/belgium/Q2222863/"	"Federal Public Service"	"https://chancellerie.belgium.be/"
""Federal Public Service Economy"	"https://www.govdirectory.org/belgium/Q1479660/"	"Federal Public Service"	"http://economie.fgov.be/"
""Federal Public Service Employment"	"https://www.govdirectory.org/belgium/Q2439365/"	"Federal Public Service"	"https://employment.belgium.be/"
""Federal Public Service Finance"	"https://www.govdirectory.org/belgium/Q1479647/"	"Federal Public Service"	"http://finance.belgium.be/"
""Federal Public Service Foreign Affairs"	"https://www.govdirectory.org/belgium/Q137670/"	"Federal Public Service"	"http://diplomatie.belgium.be/"
""Federal Public Service Health"	"https://www.govdirectory.org/belgium/Q746439/"	"Federal Public Service"	"https://www.health.belgium.be/"
""Federal Public Service Interior"	"https://www.govdirectory.org/belgium/Q281880/"	"Federal Public Service"	"https://www.ibz.be/"
""Federal Public Service Justice"	"https://www.govdirectory.org/belgium/Q1469956/"	"Federal Public Service"	"https://justice.belgium.be/"
""Federal Public Service Policy and Support"	"https://www.govdirectory.org/belgium/Q28438031/"	"Federal Public Service"	"https://bosa.belgium.be/"
""Federal Public Service Social Security"	"https://www.govdirectory.org/belgium/Q1479653/"	"Federal Public Service"	"http://socialsecurity.belgium.be/"
""Federal Public Service Transport"	"https://www.govdirectory.org/belgium/Q2389420/"	"Federal Public Service"	"https://mobilit.belgium.be/"
""National Institute for Criminalistics and Criminology"	"https://www.govdirectory.org/belgium/Q26714846/"	"Federal Scientific Institute"	"https://nicc.fgov.be/"
""Penitentiary Research and Clinical Observation Center"	"https://www.govdirectory.org/belgium/Q107650041/"	"Federal Scientific Institute"	""
""Royal Belgian Institute for Space Aeronomy"	"https://www.govdirectory.org/belgium/Q815543/"	"Federal Scientific Institute"	"https://www.aeronomie.be/"
""Royal Belgian Institute of Natural Sciences"	"https://www.govdirectory.org/belgium/Q16665660/"	"Federal Scientific Institute"	"https://www.naturalsciences.be/"
""Royal Institute for Cultural Heritage"	"https://www.govdirectory.org/belgium/Q2235462/"	"Federal Scientific Institute"	"http://www.kikirpa.be/"
""Royal Library of Belgium"	"https://www.govdirectory.org/belgium/Q383931/"	"Federal Scientific Institute"	"https://www.kbr.be/"
""Royal Meteorological Institute"	"https://www.govdirectory.org/belgium/Q3152508/"	"Federal Scientific Institute"	"http://www.meteo.be/"
""Royal Museum for Central Africa"	"https://www.govdirectory.org/belgium/Q779703/"	"Federal Scientific Institute"	"http://www.africamuseum.be/"
""Royal Museums of Art and History"	"https://www.govdirectory.org/belgium/Q945059/"	"Federal Scientific Institute"	"http://www.kmkg-mrah.be/"
""Royal Museums of Fine Arts of Belgium"	"https://www.govdirectory.org/belgium/Q377500/"	"Federal Scientific Institute"	"http://www.fine-arts-museum.be/"
""Royal Observatory of Belgium"	"https://www.govdirectory.org/belgium/Q1421339/"	"Federal Scientific Institute"	"http://www.astro.oma.be/"
""Sciensano"	"https://www.govdirectory.org/belgium/Q55508919/"	"Federal Scientific Institute"	"https://www.sciensano.be/"
""State Archives of Belgium"	"https://www.govdirectory.org/belgium/Q2120763/"	"Federal Scientific Institute"	"http://www.arch.be/"
""Auxiliary Fund for Health and Invalidity Insurance"	"https://www.govdirectory.org/belgium/Q2794683/"	"Public Institution of Social Security"	"http://www.caami-hziv.fgov.be/"
""Auxiliary Fund for Unemployment Benefits"	"https://www.govdirectory.org/belgium/Q2252183/"	"Public Institution of Social Security"	"https://www.hvw.fgov.be/"
""Crossroads Bank for Social Security"	"https://www.govdirectory.org/belgium/Q18433834/"	"Public Institution of Social Security"	"https://www.ksz-bcss.fgov.be/"
""Federal Agency for Occupational Risks"	"https://www.govdirectory.org/belgium/Q28530669/"	"Public Institution of Social Security"	"http://www.fedris.be/"
""Federal Pensions Service"	"https://www.govdirectory.org/belgium/Q14276954/"	"Public Institution of Social Security"	"https://www.sfpd.fgov.be/"
""National Employment Office"	"https://www.govdirectory.org/belgium/Q2443785/"	"Public Institution of Social Security"	"http://www.onem.be/"
""National Institute for Health and Disability Insurance"	"https://www.govdirectory.org/belgium/Q957712/"	"Public Institution of Social Security"	"http://www.inami.fgov.be/"
""National Institute for the Social Security of the Self-employed"	"https://www.govdirectory.org/belgium/Q3152374/"	"Public Institution of Social Security"	"https://www.inasti.be/fr"
""National Office for Annual Holidays"	"https://www.govdirectory.org/belgium/Q111482868/"	"Public Institution of Social Security"	"https://www.rjv.be/"
""National Social Security Office"	"https://www.govdirectory.org/belgium/Q2277583/"	"Public Institution of Social Security"	"https://www.lss.be/"
""eHealth platform"	"https://www.govdirectory.org/belgium/Q20160772/"	"Public Institution of Social Security"	"https://www.ehealth.fgov.be/"
