"Name"	"Govdirectory URL"	"Type"	"Website"
"Bermuda Ministry of National Security"	"https://www.govdirectory.org/bermuda/Q113017586/"	"Ministry in Bermuda"	"https://www.gov.bm/ministry/national-security"
""Bermuda Ministry of Social Development and Seniors"	"https://www.govdirectory.org/bermuda/Q113110641/"	"Ministry in Bermuda"	"https://www.gov.bm/ministry/social-development-and-seniors"
""Ministry of Economy and Labour"	"https://www.govdirectory.org/bermuda/Q112873438/"	"Ministry in Bermuda"	"https://www.gov.bm/ministry/economy-and-labour"
""Ministry of Education of Bermuda"	"https://www.govdirectory.org/bermuda/Q113003573/"	"Ministry in Bermuda"	"https://www.moed.bm/"
""Ministry of Finance"	"https://www.govdirectory.org/bermuda/Q113003780/"	"Ministry in Bermuda"	"https://www.gov.bm/ministry/finance"
""Ministry of Health"	"https://www.govdirectory.org/bermuda/Q113004030/"	"Ministry in Bermuda"	"https://www.gov.bm/ministry/health"
""Ministry of Home Affairs"	"https://www.govdirectory.org/bermuda/Q113004150/"	"Ministry in Bermuda"	"https://www.gov.bm/ministry/home-affairs"
""Ministry of Legal Affairs"	"https://www.govdirectory.org/bermuda/Q113004260/"	"Ministry in Bermuda"	"https://www.gov.bm/ministry/legal-affairs-and-constitutional-reform"
""Ministry of Public Works"	"https://www.govdirectory.org/bermuda/Q113018353/"	"Ministry in Bermuda"	"https://www.gov.bm/ministry/public-works"
""Ministry of The Cabinet Office"	"https://www.govdirectory.org/bermuda/Q113864410/"	"Ministry in Bermuda"	"https://www.gov.bm/ministry/government-reform"
""Ministry of Tourism"	"https://www.govdirectory.org/bermuda/Q113017362/"	"Ministry in Bermuda"	""
""Ministry of Transport"	"https://www.govdirectory.org/bermuda/Q113017413/"	"Ministry in Bermuda"	"https://www.gov.bm/ministry/transport"
""Ministry of Youth, Culture and Sport"	"https://www.govdirectory.org/bermuda/Q113042962/"	"Ministry in Bermuda"	"https://www.gov.bm/ministry/youth-culture-and-sport"
""Hamilton"	"https://www.govdirectory.org/bermuda/Q30985/"	"municipality of Bermuda"	"https://www.cityofhamilton.bm/"
""St. George's"	"https://www.govdirectory.org/bermuda/Q28063/"	"municipality of Bermuda"	""
""Devonshire Parish"	"https://www.govdirectory.org/bermuda/Q1207018/"	"parish of Bermuda"	""
""Hamilton Parish"	"https://www.govdirectory.org/bermuda/Q289876/"	"parish of Bermuda"	""
""Paget"	"https://www.govdirectory.org/bermuda/Q2046204/"	"parish of Bermuda"	""
""Pembroke Parish"	"https://www.govdirectory.org/bermuda/Q1756036/"	"parish of Bermuda"	""
""Sandys Parish"	"https://www.govdirectory.org/bermuda/Q121782/"	"parish of Bermuda"	""
""Smith's Parish"	"https://www.govdirectory.org/bermuda/Q1735847/"	"parish of Bermuda"	""
""Southampton Parish"	"https://www.govdirectory.org/bermuda/Q1323054/"	"parish of Bermuda"	""
""St. George's Parish"	"https://www.govdirectory.org/bermuda/Q1521745/"	"parish of Bermuda"	""
""Warwick Parish"	"https://www.govdirectory.org/bermuda/Q1468860/"	"parish of Bermuda"	""
"
