"Name"	"Govdirectory URL"	"Type"	"Website"
"Ministry for the Promotion of Women and the Family"	"https://www.govdirectory.org/cameroon/Q116081007/"	"ministry of Cameroon"	""
""Ministry in charge of Relations with the Assemblies"	"https://www.govdirectory.org/cameroon/Q116081008/"	"ministry of Cameroon"	""
""Ministry of Agriculture and rural development"	"https://www.govdirectory.org/cameroon/Q116080194/"	"ministry of Cameroon"	"https://www.minader.cm/"
""Ministry of Arts and Culture of Cameroon"	"https://www.govdirectory.org/cameroon/Q113468040/"	"ministry of Cameroon"	"https://www.minculture-cameroun-gov.com/"
""Ministry of Basic Education"	"https://www.govdirectory.org/cameroon/Q116040236/"	"ministry of Cameroon"	"http://www.minedub.cm/"
""Ministry of Communication"	"https://www.govdirectory.org/cameroon/Q116080963/"	"ministry of Cameroon"	"https://www.mincom.gov.cm/"
""Ministry of Defence"	"https://www.govdirectory.org/cameroon/Q116080964/"	"ministry of Cameroon"	""
""Ministry of Economy, Planning and Regional Development"	"https://www.govdirectory.org/cameroon/Q116080971/"	"ministry of Cameroon"	"https://minepat.gov.cm/fr/accueil/"
""Ministry of Employment and Vocational Training"	"https://www.govdirectory.org/cameroon/Q116080974/"	"ministry of Cameroon"	""
""Ministry of External Relations"	"https://www.govdirectory.org/cameroon/Q30745752/"	"ministry of Cameroon"	"http://www.diplocam.cm/index.php/fr/"
""Ministry of Finance"	"https://www.govdirectory.org/cameroon/Q104857659/"	"ministry of Cameroon"	""
""Ministry of Forests and Wildlife"	"https://www.govdirectory.org/cameroon/Q116080993/"	"ministry of Cameroon"	"https://minfof.gov.cm/"
""Ministry of Higher Education"	"https://www.govdirectory.org/cameroon/Q30296835/"	"ministry of Cameroon"	"http://www.minesup.gov.cm/"
""Ministry of Housing and Urban Development"	"https://www.govdirectory.org/cameroon/Q116080995/"	"ministry of Cameroon"	"https://www.minhdu.gov.cm/"
""Ministry of Justice of Cameroon"	"https://www.govdirectory.org/cameroon/Q6867324/"	"ministry of Cameroon"	"http://www.minjustice.gov.cm/"
""Ministry of Labour and Social Security"	"https://www.govdirectory.org/cameroon/Q116081018/"	"ministry of Cameroon"	"http://www.mintss.cm/"
""Ministry of Livestock, Fisheries and Animal Industries"	"https://www.govdirectory.org/cameroon/Q30261917/"	"ministry of Cameroon"	"http://www.minepia.gov.cm/en/"
""Ministry of Mines, Industry and Technological Development"	"https://www.govdirectory.org/cameroon/Q30261919/"	"ministry of Cameroon"	"http://www.minmidt.net/en.html"
""Ministry of Posts and Telecommunications"	"https://www.govdirectory.org/cameroon/Q116081005/"	"ministry of Cameroon"	"https://www.minpostel.gov.cm/"
""Ministry of Public Health"	"https://www.govdirectory.org/cameroon/Q30280671/"	"ministry of Cameroon"	"http://www.minsante.cm/site/?q=en"
""Ministry of Public Procurement"	"https://www.govdirectory.org/cameroon/Q116080999/"	"ministry of Cameroon"	"https://minmap.cm/"
""Ministry of Public Service and Administrative Reform"	"https://www.govdirectory.org/cameroon/Q116026518/"	"ministry of Cameroon"	"https://www.minfopra.gov.cm/"
""Ministry of Public Works"	"https://www.govdirectory.org/cameroon/Q116081020/"	"ministry of Cameroon"	""
""Ministry of Scientific Research and Innovation"	"https://www.govdirectory.org/cameroon/Q59536950/"	"ministry of Cameroon"	"http://campack-cm.com/minresi/index.php/anglais2"
""Ministry of Secondary Education"	"https://www.govdirectory.org/cameroon/Q116080977/"	"ministry of Cameroon"	""
""Ministry of Social Affairs"	"https://www.govdirectory.org/cameroon/Q116080961/"	"ministry of Cameroon"	"http://minas.cm/"
""Ministry of Sports in Cameroon"	"https://www.govdirectory.org/cameroon/Q116058572/"	"ministry of Cameroon"	"https://www.minsep.cm/"
""Ministry of State Property, Surveys and Land Tenure"	"https://www.govdirectory.org/cameroon/Q116080967/"	"ministry of Cameroon"	""
""Ministry of Territorial Administration"	"https://www.govdirectory.org/cameroon/Q6867573/"	"ministry of Cameroon"	""
""Ministry of Tourism and Leisure"	"https://www.govdirectory.org/cameroon/Q116081014/"	"ministry of Cameroon"	""
""Ministry of Trade"	"https://www.govdirectory.org/cameroon/Q116080429/"	"ministry of Cameroon"	"https://www.mincommerce.gov.cm/fr"
""Ministry of Transport of Cameroon"	"https://www.govdirectory.org/cameroon/Q111029934/"	"ministry of Cameroon"	"https://mintransports.net/en/"
""Ministry of Water and Energy"	"https://www.govdirectory.org/cameroon/Q116080970/"	"ministry of Cameroon"	""
""Ministry of Youth and Civic Education"	"https://www.govdirectory.org/cameroon/Q116080998/"	"ministry of Cameroon"	""
""Ministry of small and medium-sized enterprises, social economy and handicrafts"	"https://www.govdirectory.org/cameroon/Q116081002/"	"ministry of Cameroon"	"https://www.minpmeesa.cm/site/"
""Ministry of the Environment, Nature Protection and Sustainable Development"	"https://www.govdirectory.org/cameroon/Q116080981/"	"ministry of Cameroon"	"https://minepded.gov.cm/"
""Supreme State Audit"	"https://www.govdirectory.org/cameroon/Q115496283/"	"ministry of Cameroon"	"http://www.consupe.gov.cm/fr/"
""Supreme Court of Cameroon"	"https://www.govdirectory.org/cameroon/Q136989/"	"supreme court"	"http://www.coursupreme.cm/"
""Senate of Cameroon"	"https://www.govdirectory.org/cameroon/Q3510836/"	"senate"	"https://senat.cm/"
""National Assembly of Cameroon"	"https://www.govdirectory.org/cameroon/Q1634099/"	"lower house"	"https://www.assnat.cm/"
""Adamawa"	"https://www.govdirectory.org/cameroon/Q351514/"	"region of Cameroon"	""
""Centre"	"https://www.govdirectory.org/cameroon/Q739951/"	"region of Cameroon"	""
""East"	"https://www.govdirectory.org/cameroon/Q845168/"	"region of Cameroon"	""
""Far North"	"https://www.govdirectory.org/cameroon/Q823976/"	"region of Cameroon"	""
""Littoral"	"https://www.govdirectory.org/cameroon/Q845172/"	"region of Cameroon"	""
""North"	"https://www.govdirectory.org/cameroon/Q502341/"	"region of Cameroon"	""
""Northwest"	"https://www.govdirectory.org/cameroon/Q823946/"	"region of Cameroon"	""
""South"	"https://www.govdirectory.org/cameroon/Q857122/"	"region of Cameroon"	""
""Southwest"	"https://www.govdirectory.org/cameroon/Q607499/"	"region of Cameroon"	""
""West"	"https://www.govdirectory.org/cameroon/Q165784/"	"region of Cameroon"	""
"
