"Name"	"Govdirectory URL"	"Type"	"Website"
"Ministry of Agriculture of Czech Republic"	"https://www.govdirectory.org/czech-republic/Q11781495/"	"ministry of the Czech Republic"	"https://mze.gov.cz/"
""Ministry of Culture of the Czech Republic"	"https://www.govdirectory.org/czech-republic/Q6866715/"	"ministry of the Czech Republic"	"https://mk.gov.cz/"
""Ministry of Defence"	"https://www.govdirectory.org/czech-republic/Q3564646/"	"ministry of the Czech Republic"	"https://mocr.mo.gov.cz/"
""Ministry of Education, Youth and Sports"	"https://www.govdirectory.org/czech-republic/Q11781505/"	"ministry of the Czech Republic"	"https://msmt.gov.cz/"
""Ministry of Finance of the Czech Republic"	"https://www.govdirectory.org/czech-republic/Q6866937/"	"ministry of the Czech Republic"	"https://www.mfcr.cz/"
""Ministry of Foreign Affairs"	"https://www.govdirectory.org/czech-republic/Q6867005/"	"ministry of the Czech Republic"	"https://mzv.gov.cz/"
""Ministry of Health of the Czech Republic"	"https://www.govdirectory.org/czech-republic/Q1448544/"	"ministry of the Czech Republic"	"https://mzd.gov.cz/"
""Ministry of Industry and Trade"	"https://www.govdirectory.org/czech-republic/Q12037738/"	"ministry of the Czech Republic"	"https://www.mpo.gov.cz/"
""Ministry of Justice of the Czech Republic"	"https://www.govdirectory.org/czech-republic/Q1661653/"	"ministry of the Czech Republic"	"https://msp.gov.cz/"
""Ministry of Labour and Social Affairs"	"https://www.govdirectory.org/czech-republic/Q11781490/"	"ministry of the Czech Republic"	"https://www.mpsv.cz/"
""Ministry of Regional Development of the Czech Republic"	"https://www.govdirectory.org/czech-republic/Q12037736/"	"ministry of the Czech Republic"	"https://mmr.gov.cz/"
""Ministry of Transport of the Czech Republic"	"https://www.govdirectory.org/czech-republic/Q11781508/"	"ministry of the Czech Republic"	"https://md.gov.cz/"
""Ministry of the Environment of the Czech Republic"	"https://www.govdirectory.org/czech-republic/Q12037741/"	"ministry of the Czech Republic"	"https://www.mzp.cz/"
""Ministry of the Interior of the Czech Republic"	"https://www.govdirectory.org/czech-republic/Q11781499/"	"ministry of the Czech Republic"	"https://mv.gov.cz/"
""Aš"	"https://www.govdirectory.org/czech-republic/Q583910/"	"Czech municipality with expanded powers"	"https://www.muas.cz/"
""Benešov"	"https://www.govdirectory.org/czech-republic/Q470394/"	"Czech municipality with expanded powers"	"http://www.benesov-city.cz/"
""Beroun"	"https://www.govdirectory.org/czech-republic/Q827041/"	"Czech municipality with expanded powers"	"http://www.mesto-beroun.cz/"
""Blansko"	"https://www.govdirectory.org/czech-republic/Q850676/"	"Czech municipality with expanded powers"	"https://www.blansko.cz/"
""Blatná"	"https://www.govdirectory.org/czech-republic/Q804395/"	"Czech municipality with expanded powers"	"http://www.mesto-blatna.cz/"
""Blovice"	"https://www.govdirectory.org/czech-republic/Q885482/"	"Czech municipality with expanded powers"	"http://www.blovice-mesto.cz/"
""Bohumín"	"https://www.govdirectory.org/czech-republic/Q890949/"	"Czech municipality with expanded powers"	"http://www.mesto-bohumin.cz/"
""Boskovice"	"https://www.govdirectory.org/czech-republic/Q894440/"	"Czech municipality with expanded powers"	"http://www.boskovice.cz/"
""Brandýs nad Labem-Stará Boleslav"	"https://www.govdirectory.org/czech-republic/Q898468/"	"Czech municipality with expanded powers"	"http://www.brandysko.cz/"
""Brno"	"https://www.govdirectory.org/czech-republic/Q14960/"	"Czech municipality with expanded powers"	"https://www.brno.cz/"
""Broumov"	"https://www.govdirectory.org/czech-republic/Q990988/"	"Czech municipality with expanded powers"	"http://www.broumov-mesto.cz/"
""Bruntál"	"https://www.govdirectory.org/czech-republic/Q994280/"	"Czech municipality with expanded powers"	"http://www.mubruntal.cz/"
""Bučovice"	"https://www.govdirectory.org/czech-republic/Q776426/"	"Czech municipality with expanded powers"	"http://www.bucovice.cz/"
""Bystřice nad Pernštejnem"	"https://www.govdirectory.org/czech-republic/Q1018700/"	"Czech municipality with expanded powers"	"https://www.bystricenp.cz/"
""Bystřice pod Hostýnem"	"https://www.govdirectory.org/czech-republic/Q941061/"	"Czech municipality with expanded powers"	"http://www.bystriceph.cz/"
""Bílina"	"https://www.govdirectory.org/czech-republic/Q518360/"	"Czech municipality with expanded powers"	"http://www.bilina.cz/"
""Bílovec"	"https://www.govdirectory.org/czech-republic/Q1015409/"	"Czech municipality with expanded powers"	"http://www.bilovec.cz/"
""Břeclav"	"https://www.govdirectory.org/czech-republic/Q581478/"	"Czech municipality with expanded powers"	"https://www.breclav.eu/"
""Cheb"	"https://www.govdirectory.org/czech-republic/Q193719/"	"Czech municipality with expanded powers"	"http://www.cheb.cz/"
""Chomutov"	"https://www.govdirectory.org/czech-republic/Q146356/"	"Czech municipality with expanded powers"	"http://www.chomutov.cz/"
""Chotěboř"	"https://www.govdirectory.org/czech-republic/Q430661/"	"Czech municipality with expanded powers"	"http://www.chotebor.cz/"
""Chrudim"	"https://www.govdirectory.org/czech-republic/Q986070/"	"Czech municipality with expanded powers"	"http://www.chrudim.eu/"
""Dačice"	"https://www.govdirectory.org/czech-republic/Q1013843/"	"Czech municipality with expanded powers"	"https://www.dacice.cz/"
""Dobruška"	"https://www.govdirectory.org/czech-republic/Q1228928/"	"Czech municipality with expanded powers"	"http://www.mestodobruska.cz/"
""Dobříš"	"https://www.govdirectory.org/czech-republic/Q16515/"	"Czech municipality with expanded powers"	"http://www.mestodobris.cz/"
""Domažlice"	"https://www.govdirectory.org/czech-republic/Q986068/"	"Czech municipality with expanded powers"	"http://www.domazlice.eu/"
""Dvůr Králové nad Labem"	"https://www.govdirectory.org/czech-republic/Q143664/"	"Czech municipality with expanded powers"	"http://www.mudk.cz/"
""Děčín"	"https://www.govdirectory.org/czech-republic/Q146307/"	"Czech municipality with expanded powers"	"http://www.mmdecin.cz/"
""Frenštát pod Radhoštěm"	"https://www.govdirectory.org/czech-republic/Q668695/"	"Czech municipality with expanded powers"	"http://www.mufrenstat.cz/"
""Frýdek-Místek"	"https://www.govdirectory.org/czech-republic/Q48194/"	"Czech municipality with expanded powers"	"http://www.frydek-mistek.cz/"
""Frýdlant"	"https://www.govdirectory.org/czech-republic/Q986077/"	"Czech municipality with expanded powers"	"http://www.mesto-frydlant.cz/"
""Frýdlant nad Ostravicí"	"https://www.govdirectory.org/czech-republic/Q1010131/"	"Czech municipality with expanded powers"	"http://www.frydlantno.cz/"
""Havlíčkův Brod"	"https://www.govdirectory.org/czech-republic/Q954596/"	"Czech municipality with expanded powers"	"http://www.muhb.cz/"
""Havířov"	"https://www.govdirectory.org/czech-republic/Q192904/"	"Czech municipality with expanded powers"	"http://www.havirov-city.cz/"
""Hlinsko"	"https://www.govdirectory.org/czech-republic/Q1433206/"	"Czech municipality with expanded powers"	"http://www.hlinsko.cz/"
""Hlučín"	"https://www.govdirectory.org/czech-republic/Q158257/"	"Czech municipality with expanded powers"	"http://www.hlucin.cz/"
""Hodonín"	"https://www.govdirectory.org/czech-republic/Q321778/"	"Czech municipality with expanded powers"	"http://www.hodonin.eu/"
""Holešov"	"https://www.govdirectory.org/czech-republic/Q961325/"	"Czech municipality with expanded powers"	"http://www.holesov.cz/"
""Holice"	"https://www.govdirectory.org/czech-republic/Q1624693/"	"Czech municipality with expanded powers"	"http://www.mestoholice.cz/"
""Horažďovice"	"https://www.govdirectory.org/czech-republic/Q641158/"	"Czech municipality with expanded powers"	"https://www.mesto-horazdovice.cz/"
""Horšovský Týn"	"https://www.govdirectory.org/czech-republic/Q166255/"	"Czech municipality with expanded powers"	"http://www.horsovskytyn.cz/"
""Hořice"	"https://www.govdirectory.org/czech-republic/Q927541/"	"Czech municipality with expanded powers"	"http://www.horice.org/"
""Hořovice"	"https://www.govdirectory.org/czech-republic/Q978707/"	"Czech municipality with expanded powers"	"https://www.mesto-horovice.eu/"
""Hradec Králové"	"https://www.govdirectory.org/czech-republic/Q180139/"	"Czech municipality with expanded powers"	"http://www.hradeckralove.org/"
""Hranice"	"https://www.govdirectory.org/czech-republic/Q638306/"	"Czech municipality with expanded powers"	"https://www.mesto-hranice.cz/"
""Humpolec"	"https://www.govdirectory.org/czech-republic/Q1000060/"	"Czech municipality with expanded powers"	"http://www.mesto-humpolec.cz/"
""Hustopeče"	"https://www.govdirectory.org/czech-republic/Q1023875/"	"Czech municipality with expanded powers"	"http://www.hustopece.cz/"
""Ivančice"	"https://www.govdirectory.org/czech-republic/Q1008686/"	"Czech municipality with expanded powers"	"https://ivancice.cz/"
""Jablonec nad Nisou"	"https://www.govdirectory.org/czech-republic/Q147607/"	"Czech municipality with expanded powers"	"https://www.mestojablonec.cz/"
""Jablunkov"	"https://www.govdirectory.org/czech-republic/Q149108/"	"Czech municipality with expanded powers"	"http://www.jablunkov.cz/"
""Jaroměř"	"https://www.govdirectory.org/czech-republic/Q999961/"	"Czech municipality with expanded powers"	"http://www.jaromer-josefov.cz/"
""Jeseník"	"https://www.govdirectory.org/czech-republic/Q954611/"	"Czech municipality with expanded powers"	"https://jesenik.cz/"
""Jihlava"	"https://www.govdirectory.org/czech-republic/Q183111/"	"Czech municipality with expanded powers"	"http://www.jihlava.cz/"
""Jilemnice"	"https://www.govdirectory.org/czech-republic/Q368796/"	"Czech municipality with expanded powers"	"http://www.mestojilemnice.cz/"
""Jindřichův Hradec"	"https://www.govdirectory.org/czech-republic/Q368929/"	"Czech municipality with expanded powers"	"http://www.jh.cz/"
""Jičín"	"https://www.govdirectory.org/czech-republic/Q656603/"	"Czech municipality with expanded powers"	"https://www.mujicin.cz/"
""Kadaň"	"https://www.govdirectory.org/czech-republic/Q158274/"	"Czech municipality with expanded powers"	"http://www.mesto-kadan.cz/"
""Kaplice"	"https://www.govdirectory.org/czech-republic/Q954808/"	"Czech municipality with expanded powers"	"https://www.mestokaplice.cz/"
""Karlovy Vary"	"https://www.govdirectory.org/czech-republic/Q384544/"	"Czech municipality with expanded powers"	"https://mmkv.cz/"
""Karviná"	"https://www.govdirectory.org/czech-republic/Q191793/"	"Czech municipality with expanded powers"	"http://www.karvina.cz/"
""Kladno"	"https://www.govdirectory.org/czech-republic/Q155993/"	"Czech municipality with expanded powers"	"http://www.mestokladno.cz/"
""Klatovy"	"https://www.govdirectory.org/czech-republic/Q602976/"	"Czech municipality with expanded powers"	"http://www.klatovy.cz/"
