"Name"	"Govdirectory URL"	"Type"	"Website"
"Ministry of Culture"	"https://www.govdirectory.org/denmark/Q1419663/"	"ministries of Denmark"	"https://kum.dk/"
""Ministry of Higher Education and Science"	"https://www.govdirectory.org/denmark/Q1438081/"	"ministries of Denmark"	"https://ufm.dk/"
""Ministry of Justice"	"https://www.govdirectory.org/denmark/Q1771611/"	"ministries of Denmark"	"https://www.justitsministeriet.dk/"
""Ministry of the State of Denmark"	"https://www.govdirectory.org/denmark/Q1814356/"	"ministries of Denmark"	"http://stm.dk/"
""Tax Ministry of Denmark"	"https://www.govdirectory.org/denmark/Q1817489/"	"ministries of Denmark"	"https://www.skm.dk/"
""Ministry of Defence of Denmark"	"https://www.govdirectory.org/denmark/Q2976206/"	"ministries of Denmark"	"https://www.fmn.dk/"
""Ministry of Foreign Affairs of Denmark"	"https://www.govdirectory.org/denmark/Q3359275/"	"ministries of Denmark"	"https://um.dk/"
""Ministry of Energy, Utilities, and Climate"	"https://www.govdirectory.org/denmark/Q3359295/"	"ministries of Denmark"	"https://kefm.dk/"
""Ministry of Finance of Denmark"	"https://www.govdirectory.org/denmark/Q3362362/"	"ministries of Denmark"	"https://fm.dk/"
""Ministry of Interior and Health"	"https://www.govdirectory.org/denmark/Q3376586/"	"ministries of Denmark"	"https://sum.dk/"
""Ministry of Social Affairs"	"https://www.govdirectory.org/denmark/Q4294704/"	"ministries of Denmark"	"https://sm.dk/"
""Ministry of Transport, Building and Housing"	"https://www.govdirectory.org/denmark/Q4294734/"	"ministries of Denmark"	"https://www.trm.dk/"
""Danish Ministry of Education"	"https://www.govdirectory.org/denmark/Q11989566/"	"ministries of Denmark"	"https://uvm.dk/"
""Ministry of Ecclesiastical Affairs"	"https://www.govdirectory.org/denmark/Q11989565/"	"ministries of Denmark"	"https://www.km.dk/"
""Ministry of Labour"	"https://www.govdirectory.org/denmark/Q12303321/"	"ministries of Denmark"	"https://bm.dk/"
""Ministry of Industry, Business and Financial Affairs"	"https://www.govdirectory.org/denmark/Q12310249/"	"ministries of Denmark"	"https://em.dk/"
""Ministry of Immigration and Integration"	"https://www.govdirectory.org/denmark/Q20638217/"	"ministries of Denmark"	"https://uim.dk/"
""Ministry of the Elderly of Denmark"	"https://www.govdirectory.org/denmark/Q111846700/"	"ministries of Denmark"	"https://aeldremin.dk/"
""Ministry of Digitalization"	"https://www.govdirectory.org/denmark/Q115714352/"	"ministries of Denmark"	"https://digmin.dk/"
""Ministry of Societal Safety and Emergency Management"	"https://www.govdirectory.org/denmark/Q130044693/"	"ministries of Denmark"	"https://mssb.dk/"
""Ministry of the Implementation of the Green Three-Partite Agreement"	"https://www.govdirectory.org/denmark/Q130044704/"	"ministries of Denmark"	"https://mgtp.dk/"
""Glostrup Municipality"	"https://www.govdirectory.org/denmark/Q21006/"	"municipality of Denmark"	"https://www.glostrup.dk/"
""Kolding Municipality"	"https://www.govdirectory.org/denmark/Q21101/"	"municipality of Denmark"	"https://www.kolding.dk/"
""Ærø Municipality"	"https://www.govdirectory.org/denmark/Q21104/"	"municipality of Denmark"	"http://aeroekommune.dk/"
""Sønderborg Municipality"	"https://www.govdirectory.org/denmark/Q21108/"	"municipality of Denmark"	"http://sonderborgkommune.dk/"
""Varde Municipality"	"https://www.govdirectory.org/denmark/Q21142/"	"municipality of Denmark"	"https://vardekommune.dk/"
""Haderslev Municipality"	"https://www.govdirectory.org/denmark/Q21143/"	"municipality of Denmark"	"http://www.haderslev.dk/"
""Middelfart Municipality"	"https://www.govdirectory.org/denmark/Q21140/"	"municipality of Denmark"	"http://www.middelfart.dk/"
""Odense Municipality"	"https://www.govdirectory.org/denmark/Q21146/"	"municipality of Denmark"	"http://www.odense.dk/"
""Fredericia Municipality"	"https://www.govdirectory.org/denmark/Q21145/"	"municipality of Denmark"	"https://www.fredericia.dk/"
""Vejen Municipality"	"https://www.govdirectory.org/denmark/Q21150/"	"municipality of Denmark"	"https://vejen.dk/"
""Sorø Municipality"	"https://www.govdirectory.org/denmark/Q21151/"	"municipality of Denmark"	"http://soroe.dk/"
""Aabenraa Municipality"	"https://www.govdirectory.org/denmark/Q21152/"	"municipality of Denmark"	"https://www.aabenraa.dk/"
""Svendborg Municipality"	"https://www.govdirectory.org/denmark/Q21182/"	"municipality of Denmark"	"http://www.svendborg.dk/"
""Billund Municipality"	"https://www.govdirectory.org/denmark/Q27875/"	"municipality of Denmark"	"http://billund.dk/"
