"Name"	"Govdirectory URL"	"Type"	"Website"
"Ministry of Agriculture and Fisheries"	"https://www.govdirectory.org/east-timor/Q96475169/"	"ministry of Timor-Leste"	"https://www.maf.gov.tl/tl/"
""Ministry of Defense of East Timor"	"https://www.govdirectory.org/east-timor/Q25443468/"	"ministry of Timor-Leste"	"https://defesa.gov.tl/"
""Ministry of Economic Affairs"	"https://www.govdirectory.org/east-timor/Q110819153/"	"ministry of Timor-Leste"	""
""Ministry of Education, Youth and Sport"	"https://www.govdirectory.org/east-timor/Q96035143/"	"ministry of Timor-Leste"	"http://moe.gov.tl/pt/"
""Ministry of Finance"	"https://www.govdirectory.org/east-timor/Q6866933/"	"ministry of Timor-Leste"	"https://www.mof.gov.tl/"
""Ministry of Foreign Affairs and Cooperation"	"https://www.govdirectory.org/east-timor/Q85785727/"	"ministry of Timor-Leste"	""
""Ministry of Health"	"https://www.govdirectory.org/east-timor/Q95214176/"	"ministry of Timor-Leste"	"http://www.ms.gov.tl/en"
""Ministry of Higher Education, Science and Culture"	"https://www.govdirectory.org/east-timor/Q110639612/"	"ministry of Timor-Leste"	"https://mescc.gov.tl/"
""Ministry of Justice"	"https://www.govdirectory.org/east-timor/Q95742870/"	"ministry of Timor-Leste"	"http://www.mj.gov.tl/"
""Ministry of Parliamentary Affairs and Media"	"https://www.govdirectory.org/east-timor/Q110812449/"	"ministry of Timor-Leste"	""
""Ministry of Petroleum and Minerals"	"https://www.govdirectory.org/east-timor/Q100793507/"	"ministry of Timor-Leste"	"http://mpm.gov.tl/en/"
""Ministry of Planning and Territory"	"https://www.govdirectory.org/east-timor/Q110556228/"	"ministry of Timor-Leste"	""
""Ministry of Public Works"	"https://www.govdirectory.org/east-timor/Q110647095/"	"ministry of Timor-Leste"	"https://mop.gov.tl/"
""Ministry of Social Solidarity and Inclusion"	"https://www.govdirectory.org/east-timor/Q110552016/"	"ministry of Timor-Leste"	"http://mss.gov.tl/"
""Ministry of State Administration"	"https://www.govdirectory.org/east-timor/Q110515519/"	"ministry of Timor-Leste"	"https://estatal.gov.tl/"
