"Name"	"Govdirectory URL"	"Type"	"Website"
"Ministry of Agriculture and Forestry"	"https://www.govdirectory.org/finland/Q11880287/"	"ministry of Finland"	"https://mmm.fi/"
""Ministry of Defence of Finland"	"https://www.govdirectory.org/finland/Q4294512/"	"ministry of Finland"	"http://www.defmin.fi/"
""Ministry of Economic Affairs and Employment"	"https://www.govdirectory.org/finland/Q13765742/"	"ministry of Finland"	"https://www.tem.fi/"
""Ministry of Education and Culture"	"https://www.govdirectory.org/finland/Q3315253/"	"ministry of Finland"	"https://okm.fi/"
""Ministry of Finance"	"https://www.govdirectory.org/finland/Q10495302/"	"ministry of Finland"	"https://vm.fi/en/frontpage"
""Ministry of Foreign Affairs of Finland"	"https://www.govdirectory.org/finland/Q2639539/"	"ministry of Finland"	"https://um.fi/"
""Ministry of Justice"	"https://www.govdirectory.org/finland/Q4294879/"	"ministry of Finland"	"http://www.oikeusministerio.fi/"
""Ministry of Social Affairs and Health"	"https://www.govdirectory.org/finland/Q10672883/"	"ministry of Finland"	"http://stm.fi/"
""Ministry of Transport and Communications"	"https://www.govdirectory.org/finland/Q4294748/"	"ministry of Finland"	"https://www.lvm.fi/en/home"
""Ministry of the Environment"	"https://www.govdirectory.org/finland/Q11895159/"	"ministry of Finland"	"http://www.ym.fi/"
""Ministry of the Interior of Finland"	"https://www.govdirectory.org/finland/Q3357767/"	"ministry of Finland"	"https://intermin.fi/etusivu"
""Prime Minister's Office"	"https://www.govdirectory.org/finland/Q10677814/"	"ministry of Finland"	"https://vnk.fi/"
""Central Finland"	"https://www.govdirectory.org/finland/Q5697/"	"region of Finland"	"http://www.keskisuomi.fi/"
""Central Ostrobothnia"	"https://www.govdirectory.org/finland/Q5696/"	"region of Finland"	"http://www.keski-pohjanmaa.fi/"
""Kainuu"	"https://www.govdirectory.org/finland/Q5694/"	"region of Finland"	"http://www.kainuu.fi/"
""Kanta-Häme"	"https://www.govdirectory.org/finland/Q5695/"	"region of Finland"	"http://www.hameenliitto.fi/"
""Kymenlaakso"	"https://www.govdirectory.org/finland/Q5698/"	"region of Finland"	"http://www.kymenlaakso.fi/"
""Lapland"	"https://www.govdirectory.org/finland/Q5700/"	"region of Finland"	"https://www.lapinliitto.fi/"
""North Karelia"	"https://www.govdirectory.org/finland/Q5703/"	"region of Finland"	"http://www.pohjois-karjala.fi/"
""North Ostrobothnia"	"https://www.govdirectory.org/finland/Q5704/"	"region of Finland"	"https://www.pohjois-pohjanmaa.fi/"
""North Savo"	"https://www.govdirectory.org/finland/Q5706/"	"region of Finland"	"http://www.pohjois-savo.fi/"
""Ostrobothnia"	"https://www.govdirectory.org/finland/Q5702/"	"region of Finland"	"https://www.obotnia.fi/"
""Pirkanmaa"	"https://www.govdirectory.org/finland/Q5701/"	"region of Finland"	"http://www.pirkanmaa.fi/"
""Päijät-Häme"	"https://www.govdirectory.org/finland/Q5708/"	"region of Finland"	"http://www.paijat-hame.fi/"
""Satakunta"	"https://www.govdirectory.org/finland/Q5709/"	"region of Finland"	"http://www.satakunta.fi/"
""South Karelia"	"https://www.govdirectory.org/finland/Q5691/"	"region of Finland"	"https://ekarjala.fi/"
""South Ostrobothnia"	"https://www.govdirectory.org/finland/Q5692/"	"region of Finland"	"https://epliitto.fi/"
""South Savo"	"https://www.govdirectory.org/finland/Q5693/"	"region of Finland"	"https://www.esavo.fi/"
""Southwest Finland"	"https://www.govdirectory.org/finland/Q5712/"	"region of Finland"	"http://www.varsinais-suomi.fi/"
""Uusimaa"	"https://www.govdirectory.org/finland/Q5711/"	"region of Finland"	"http://www.uudenmaanliitto.fi/"
""Åland"	"https://www.govdirectory.org/finland/Q5689/"	"region of Finland"	"https://www.aland.ax/"
""Akaa"	"https://www.govdirectory.org/finland/Q413747/"	"municipality of Finland"	"https://akaa.fi/"
""Alajärvi"	"https://www.govdirectory.org/finland/Q5980/"	"municipality of Finland"	"https://alajarvi.fi/"
""Alavieska"	"https://www.govdirectory.org/finland/Q996252/"	"municipality of Finland"	"http://www.alavieska.fi/"
""Alavus"	"https://www.govdirectory.org/finland/Q5981/"	"municipality of Finland"	"https://www.alavus.fi/"
""Asikkala"	"https://www.govdirectory.org/finland/Q730285/"	"municipality of Finland"	"https://asikkala.fi/"
""Askola"	"https://www.govdirectory.org/finland/Q732159/"	"municipality of Finland"	"https://askola.fi/"
""Aura"	"https://www.govdirectory.org/finland/Q774114/"	"municipality of Finland"	"https://aura.fi/"
""Brändö"	"https://www.govdirectory.org/finland/Q179706/"	"municipality of Finland"	"http://www.brando.ax/"
""Eckerö"	"https://www.govdirectory.org/finland/Q51909/"	"municipality of Finland"	"https://www.eckero.ax/"
""Enonkoski"	"https://www.govdirectory.org/finland/Q952920/"	"municipality of Finland"	"http://www.enonkoski.fi/"
""Enontekiö"	"https://www.govdirectory.org/finland/Q984861/"	"municipality of Finland"	"https://enontekio.fi/"
""Espoo"	"https://www.govdirectory.org/finland/Q47034/"	"municipality of Finland"	"https://www.espoo.fi/"
""Eura"	"https://www.govdirectory.org/finland/Q999868/"	"municipality of Finland"	"https://www.eura.fi/"
""Eurajoki"	"https://www.govdirectory.org/finland/Q1001783/"	"municipality of Finland"	"https://www.eurajoki.fi/"
""Evijärvi"	"https://www.govdirectory.org/finland/Q5983/"	"municipality of Finland"	"https://evijarvi.fi/"
""Finström"	"https://www.govdirectory.org/finland/Q51914/"	"municipality of Finland"	"https://www.finstrom.ax/"
""Forssa"	"https://www.govdirectory.org/finland/Q829842/"	"municipality of Finland"	"https://www.forssa.fi/"
""Föglö"	"https://www.govdirectory.org/finland/Q179722/"	"municipality of Finland"	"https://www.foglo.ax/"
""Geta"	"https://www.govdirectory.org/finland/Q134675/"	"municipality of Finland"	"https://www.geta.ax/"
""Haapajärvi"	"https://www.govdirectory.org/finland/Q316211/"	"municipality of Finland"	"https://www.haapajarvi.fi/"
""Haapavesi"	"https://www.govdirectory.org/finland/Q819387/"	"municipality of Finland"	"https://haapavesi.fi/"
""Hailuoto"	"https://www.govdirectory.org/finland/Q1569280/"	"municipality of Finland"	"https://hailuoto.fi/"
""Halsua"	"https://www.govdirectory.org/finland/Q999236/"	"municipality of Finland"	"https://halsua.fi/"
""Hamina"	"https://www.govdirectory.org/finland/Q367780/"	"municipality of Finland"	"https://www.hamina.fi/"
""Hammarland"	"https://www.govdirectory.org/finland/Q134685/"	"municipality of Finland"	"https://www.hammarland.ax/"
""Hankasalmi"	"https://www.govdirectory.org/finland/Q543717/"	"municipality of Finland"	"https://hankasalmi.fi/"
""Hanko"	"https://www.govdirectory.org/finland/Q216790/"	"municipality of Finland"	"https://hanko.fi/"
""Harjavalta"	"https://www.govdirectory.org/finland/Q986578/"	"municipality of Finland"	"https://www.harjavalta.fi/"
""Hartola"	"https://www.govdirectory.org/finland/Q1010494/"	"municipality of Finland"	"https://hartola.fi/"
""Hattula"	"https://www.govdirectory.org/finland/Q965172/"	"municipality of Finland"	"https://hattula.fi/"
