"Name"	"Govdirectory URL"	"Type"	"Website"
"Bavaria"	"https://www.govdirectory.org/germany/Q980/"	"federated state of Germany"	"https://www.bayern.de/"
""Baden-Württemberg"	"https://www.govdirectory.org/germany/Q985/"	"federated state of Germany"	"https://www.baden-wuerttemberg.de/"
""Hamburg"	"https://www.govdirectory.org/germany/Q1055/"	"federated state of Germany"	"https://www.hamburg.de/"
""Schleswig-Holstein"	"https://www.govdirectory.org/germany/Q1194/"	"federated state of Germany"	"https://www.schleswig-holstein.de/"
""North Rhine-Westphalia"	"https://www.govdirectory.org/germany/Q1198/"	"federated state of Germany"	"https://www.land.nrw/"
""Hesse"	"https://www.govdirectory.org/germany/Q1199/"	"federated state of Germany"	"https://hessen.de/"
""Mecklenburg-Western Pomerania"	"https://www.govdirectory.org/germany/Q1196/"	"federated state of Germany"	"https://www.regierung-mv.de/"
""Lower Saxony"	"https://www.govdirectory.org/germany/Q1197/"	"federated state of Germany"	"https://www.niedersachsen.de/"
""Saxony"	"https://www.govdirectory.org/germany/Q1202/"	"federated state of Germany"	"https://www.sachsen.de/"
""Rhineland-Palatinate"	"https://www.govdirectory.org/germany/Q1200/"	"federated state of Germany"	"https://www.rlp.de/"
""Saarland"	"https://www.govdirectory.org/germany/Q1201/"	"federated state of Germany"	"https://www.saarland.de/"
""Saxony-Anhalt"	"https://www.govdirectory.org/germany/Q1206/"	"federated state of Germany"	"https://www.sachsen-anhalt.de/"
""Thuringia"	"https://www.govdirectory.org/germany/Q1205/"	"federated state of Germany"	"https://thueringen.de/"
""Brandenburg"	"https://www.govdirectory.org/germany/Q1208/"	"federated state of Germany"	"https://www.brandenburg.de/"
""Bremen"	"https://www.govdirectory.org/germany/Q1209/"	"federated state of Germany"	"https://www.bremen.de/"
""Berlin"	"https://www.govdirectory.org/germany/Q64/"	"federated state of Germany"	"https://www.berlin.de/"
""Consulate General of Germany, Istanbul"	"https://www.govdirectory.org/germany/Q1205651/"	"consulate general"	"https://istanbul.diplo.de/"
""Consulate-General of Germany, Shanghai"	"https://www.govdirectory.org/germany/Q1501886/"	"consulate general"	"https://shanghai.diplo.de/"
""Consulate General of Germany, Chennai"	"https://www.govdirectory.org/germany/Q5164562/"	"consulate general"	"https://india.diplo.de/in-en/ueber-uns/chennai"
""Consulate General of Germany, Bangalore"	"https://www.govdirectory.org/germany/Q5164561/"	"consulate general"	"https://india.diplo.de/in-de/ueber-uns/bangalore"
""Consulate General of Germany, Gdańsk"	"https://www.govdirectory.org/germany/Q11743070/"	"consulate general"	"https://danzig.diplo.de/"
""Consulate General of Germany, Guangzhou"	"https://www.govdirectory.org/germany/Q15903420/"	"consulate general"	"https://china.diplo.de/cn-de/vertretungen/gk-kanton"
""Consulate General of Germany, Strasbourg"	"https://www.govdirectory.org/germany/Q16010285/"	"consulate general"	"https://strassburg.diplo.de/"
""Consulate General of Germany, Marseille"	"https://www.govdirectory.org/germany/Q16010664/"	"consulate general"	"https://marseille.diplo.de/"
""Consulate General of Germany, Lyon"	"https://www.govdirectory.org/germany/Q16507552/"	"consulate general"	"https://lyon.diplo.de/"
""Consulate General of Germany, Bordeaux"	"https://www.govdirectory.org/germany/Q16507553/"	"consulate general"	"http://bordeaux.diplo.de/"
""Consulate General of Germany, Hong Kong"	"https://www.govdirectory.org/germany/Q19603937/"	"consulate general"	"https://hongkong.diplo.de/"
""Consulate General of Germany, Chengdu"	"https://www.govdirectory.org/germany/Q19852561/"	"consulate general"	"https://chengdu.diplo.de/"
""Consulate General of Germany, Shenyang"	"https://www.govdirectory.org/germany/Q19855730/"	"consulate general"	"https://shenyang.diplo.de/"
""Consulate General of Germany, Osaka-Kobe"	"https://www.govdirectory.org/germany/Q54556046/"	"consulate general"	"https://japan.diplo.de/ja-de/vertretungen/generalkonsulat"
""Consulate General of Germany, Wrocław"	"https://www.govdirectory.org/germany/Q86679825/"	"consulate general"	"https://breslau.diplo.de/"
""Consulate General of Germany, Barcelona"	"https://www.govdirectory.org/germany/Q108765617/"	"consulate general"	"https://barcelona.diplo.de/"
""Consulate General of Germany, İzmir"	"https://www.govdirectory.org/germany/Q110852798/"	"consulate general"	"https://izmir.diplo.de/"
""Consulate General of Germany, New York"	"https://www.govdirectory.org/germany/Q115644072/"	"consulate general"	"https://www.germany.info/us-de/botschaft-konsulate/new-york"
""Consulate General of Germany, Sydney"	"https://www.govdirectory.org/germany/Q131388141/"	"consulate general"	"https://australien.diplo.de/au-de/ueber-uns/generalkonsulat-sydn"
""Consulate General of Germany, Recife"	"https://www.govdirectory.org/germany/Q131388842/"	"consulate general"	"https://recife.diplo.de/"
""Consulate General of Germany, Rio de Janeiro"	"https://www.govdirectory.org/germany/Q131388862/"	"consulate general"	"https://rio-de-janeiro.diplo.de/"
""Consulate General of Germany, São Paulo"	"https://www.govdirectory.org/germany/Q131388871/"	"consulate general"	"https://sao-paulo.diplo.de/"
""Consulate General of Germany, Thessaloniki"	"https://www.govdirectory.org/germany/Q131388908/"	"consulate general"	"https://thessaloniki.diplo.de/"
""Consulate General of Germany, Porto Alegre"	"https://www.govdirectory.org/germany/Q131396140/"	"consulate general"	"https://porto-alegre.diplo.de/"
""Consulate General of Germany, Calcutta"	"https://www.govdirectory.org/germany/Q131396305/"	"consulate general"	"https://kalkutta.diplo.de/"
""Consulate General of Germany, Mumbai"	"https://www.govdirectory.org/germany/Q131396335/"	"consulate general"	"https://mumbai.diplo.de/"
""Consulate General of Germany, Erbil"	"https://www.govdirectory.org/germany/Q131396353/"	"consulate general"	"https://erbil.diplo.de/"
""Consulate General of Germany, Milan"	"https://www.govdirectory.org/germany/Q131396639/"	"consulate general"	"https://mailand.diplo.de/"
""Consulate General of Germany, Montreal"	"https://www.govdirectory.org/germany/Q131396664/"	"consulate general"	"https://montreal.diplo.de/"
""Consulate General of Germany, Toronto"	"https://www.govdirectory.org/germany/Q131396831/"	"consulate general"	"https://toronto.diplo.de/"
""Consulate General of Germany, Vancouver"	"https://www.govdirectory.org/germany/Q131396941/"	"consulate general"	"https://vancouver.diplo.de/"
""Consulate General of Germany, Almaty"	"https://www.govdirectory.org/germany/Q131396956/"	"consulate general"	"https://almaty.diplo.de/"
""Consulate General of Germany, Amsterdam"	"https://www.govdirectory.org/germany/Q131397685/"	"consulate general"	"https://amsterdam.diplo.de/"
""Consulate General of Germany, Lagos"	"https://www.govdirectory.org/germany/Q131397926/"	"consulate general"	"https://abuja.diplo.de/"
""Consulate General of Germany, Karachi"	"https://www.govdirectory.org/germany/Q131397942/"	"consulate general"	"https://karachi.diplo.de/"
""Consulate General of Germany, Krakow"	"https://www.govdirectory.org/germany/Q131397963/"	"consulate general"	"https://krakau.diplo.de/"
""Consulate General of Germany, St. Petersburg"	"https://www.govdirectory.org/germany/Q131397983/"	"consulate general"	"https://sankt-petersburg.diplo.de/"
""Consulate General of Germany, Jeddah"	"https://www.govdirectory.org/germany/Q131397998/"	"consulate general"	"https://djidda.diplo.de/"
""Consulate General of Germany, Cape Town"	"https://www.govdirectory.org/germany/Q131398069/"	"consulate general"	"https://kapstadt.diplo.de/"
""Consulate General of Germany, Dubai"	"https://www.govdirectory.org/germany/Q131398114/"	"consulate general"	"https://dubai.diplo.de/"
""Consulate General of Germany, Atlanta"	"https://www.govdirectory.org/germany/Q131400217/"	"consulate general"	"https://atlanta.diplo.de/"
""Consulate General of Germany, Boston"	"https://www.govdirectory.org/germany/Q131400286/"	"consulate general"	"https://boston.diplo.de/"
""Consulate General of Germany, Chicago"	"https://www.govdirectory.org/germany/Q131400304/"	"consulate general"	"https://chicago.diplo.de/"
""Consulate General of Germany, Houston"	"https://www.govdirectory.org/germany/Q131400319/"	"consulate general"	"https://houston.diplo.de/"
""Consulate General of Germany, Los Angeles"	"https://www.govdirectory.org/germany/Q131400337/"	"consulate general"	"https://los-angeles.diplo.de/"
""Consulate General of Germany, Miami"	"https://www.govdirectory.org/germany/Q131400365/"	"consulate general"	"https://miami.diplo.de/"
""Consulate General of Germany, San Francisco"	"https://www.govdirectory.org/germany/Q131400384/"	"consulate general"	"https://san-francisco.diplo.de/"
""Consulate General of Germany, Edinburgh"	"https://www.govdirectory.org/germany/Q131400429/"	"consulate general"	"https://edinburgh.diplo.de/"
""Consulate General of Germany, Ho Chi Minh City"	"https://www.govdirectory.org/germany/Q131400517/"	"consulate general"	"https://ho-chi-minh-stadt.diplo.de/"
""Embassy of Germany, Washington"	"https://www.govdirectory.org/germany/Q324833/"	"embassy"	"https://www.germany.info/"
""Embassy of Germany, Kyiv"	"https://www.govdirectory.org/germany/Q387050/"	"embassy"	"https://ukraine.diplo.de/"
""Embassy of Germany, Windhoek"	"https://www.govdirectory.org/germany/Q478156/"	"embassy"	"https://windhuk.diplo.de/na-en"
""Embassy of Germany, Prague"	"https://www.govdirectory.org/germany/Q834465/"	"embassy"	"https://prag.diplo.de/"
""Embassy of Germany, London"	"https://www.govdirectory.org/germany/Q835031/"	"embassy"	"https://uk.diplo.de/"
""Embassy of Germany, Ankara"	"https://www.govdirectory.org/germany/Q1202231/"	"embassy"	"https://tuerkei.diplo.de/"
""Embassy of Germany, Monrovia"	"https://www.govdirectory.org/germany/Q1202234/"	"embassy"	"https://monrovia.diplo.de/"
""Embassy of Germany, Riga"	"https://www.govdirectory.org/germany/Q1202233/"	"embassy"	"https://riga.diplo.de/"
""Embassy of Germany, Vienna"	"https://www.govdirectory.org/germany/Q1202238/"	"embassy"	"https://www.wien.diplo.de/"
""embassy of Germany in Pyongyang"	"https://www.govdirectory.org/germany/Q1202236/"	"embassy"	"https://pjoengjang.diplo.de/"
""Embassy of Germany in Uruguay"	"https://www.govdirectory.org/germany/Q1202237/"	"embassy"	"https://montevideo.diplo.de/"
""Embassy of Germany, Stockholm"	"https://www.govdirectory.org/germany/Q1202240/"	"embassy"	"https://stockholm.diplo.de/"
""Embassy of Germany to the Holy See"	"https://www.govdirectory.org/germany/Q1860153/"	"embassy"	"https://heiliger-stuhl.diplo.de/"
""Embassy of Germany, Moscow"	"https://www.govdirectory.org/germany/Q4373990/"	"embassy"	"https://germania.diplo.de/"
""Embassy of Germany, Abuja"	"https://www.govdirectory.org/germany/Q5369691/"	"embassy"	"https://nigeria.diplo.de/"
""Embassy of Germany, Budapest"	"https://www.govdirectory.org/germany/Q5369694/"	"embassy"	"https://budapest.diplo.de/"
""Embassy of Germany, Canberra"	"https://www.govdirectory.org/germany/Q5369695/"	"embassy"	"https://australien.diplo.de/"
""Embassy of Germany, Brasília"	"https://www.govdirectory.org/germany/Q5369693/"	"embassy"	"https://brasil.diplo.de/"
""Embassy of Germany, Chișinău"	"https://www.govdirectory.org/germany/Q5369696/"	"embassy"	"https://chisinau.diplo.de/"
