"Name"	"Govdirectory URL"	"Type"	"Website"
"Ashanti Region"	"https://www.govdirectory.org/ghana/Q398417/"	"region of Ghana"	""
""Eastern Region"	"https://www.govdirectory.org/ghana/Q405670/"	"region of Ghana"	"http://www.easternregion.gov.gh/"
""Greater Accra Region"	"https://www.govdirectory.org/ghana/Q431729/"	"region of Ghana"	"http://www.gtarcc.gov.gh/"
""Northern Region"	"https://www.govdirectory.org/ghana/Q502215/"	"region of Ghana"	""
""Upper East Region"	"https://www.govdirectory.org/ghana/Q712828/"	"region of Ghana"	""
""Volta Region"	"https://www.govdirectory.org/ghana/Q712832/"	"region of Ghana"	"http://voltaregion.gov.gh/"
""Upper West Region"	"https://www.govdirectory.org/ghana/Q715805/"	"region of Ghana"	""
""Central Region"	"https://www.govdirectory.org/ghana/Q846323/"	"region of Ghana"	""
""Western Region"	"https://www.govdirectory.org/ghana/Q870155/"	"region of Ghana"	""
""Ahafo Region"	"https://www.govdirectory.org/ghana/Q48804007/"	"region of Ghana"	""
""Oti Region"	"https://www.govdirectory.org/ghana/Q48804004/"	"region of Ghana"	""
""Savannah Region"	"https://www.govdirectory.org/ghana/Q60764352/"	"region of Ghana"	""
""Bono East Region"	"https://www.govdirectory.org/ghana/Q60764358/"	"region of Ghana"	""
""North East Region"	"https://www.govdirectory.org/ghana/Q60764359/"	"region of Ghana"	""
""Western North Region"	"https://www.govdirectory.org/ghana/Q60764360/"	"region of Ghana"	""
""Bono Region"	"https://www.govdirectory.org/ghana/Q64685186/"	"region of Ghana"	""
""Ministry of Interior"	"https://www.govdirectory.org/ghana/Q4294295/"	"Ministry of Ghana"	"https://www.mint.gov.gh/"
""Ministry of Local Government and Rural Development"	"https://www.govdirectory.org/ghana/Q4294452/"	"Ministry of Ghana"	"http://www.mlgrd.gov.gh/"
""Ministry of Youth and Sports"	"https://www.govdirectory.org/ghana/Q4294457/"	"Ministry of Ghana"	"https://moys.gov.gh/"
""Ministry of Defence"	"https://www.govdirectory.org/ghana/Q4294496/"	"Ministry of Ghana"	"https://mod.gov.gh/"
""Ministry of Women and Children's Affairs"	"https://www.govdirectory.org/ghana/Q4294579/"	"Ministry of Ghana"	"https://www.mogcsp.gov.gh/"
""Ministry of Food and Agriculture of Ghana"	"https://www.govdirectory.org/ghana/Q4294693/"	"Ministry of Ghana"	"https://mofa.gov.gh/"
""Ministry of Transport"	"https://www.govdirectory.org/ghana/Q4294732/"	"Ministry of Ghana"	"https://www.mot.gov.gh/"
""Ministry of Tourism, Arts & Culture (MoTAC) Ghana"	"https://www.govdirectory.org/ghana/Q4294771/"	"Ministry of Ghana"	"https://www.motac.gov.gh/"
""Ministry of Energy and Petroleum"	"https://www.govdirectory.org/ghana/Q4294842/"	"Ministry of Ghana"	"https://www.energymin.gov.gh/"
""Ministry for Trade and Industry"	"https://www.govdirectory.org/ghana/Q6865980/"	"Ministry of Ghana"	"https://moti.gov.gh/"
""Ministry of Education, Ghana"	"https://www.govdirectory.org/ghana/Q6866842/"	"Ministry of Ghana"	"https://moe.gov.gh/"
""Ministry of Finance and Economic Planning"	"https://www.govdirectory.org/ghana/Q6866969/"	"Ministry of Ghana"	"https://www.mofep.gov.gh/"
""Ministry of Health (Ghana)"	"https://www.govdirectory.org/ghana/Q6867086/"	"Ministry of Ghana"	"https://www.moh.gov.gh/"
""Ministry of Roads and Highways"	"https://www.govdirectory.org/ghana/Q6867513/"	"Ministry of Ghana"	"https://mrh.gov.gh/"
""Ministry for Chieftaincy and Traditional Affairs"	"https://www.govdirectory.org/ghana/Q16733860/"	"Ministry of Ghana"	"https://mcra.gov.gh/"
""Ministry of Foreign Affairs and Regional Integration of the Republic of Ghana"	"https://www.govdirectory.org/ghana/Q16874286/"	"Ministry of Ghana"	"https://mfa.gov.gh/"
""Ministry of Communication and Technology"	"https://www.govdirectory.org/ghana/Q18345311/"	"Ministry of Ghana"	"https://moc.gov.gh/"
""Ministry of Environment, Science, Technology and Innovation"	"https://www.govdirectory.org/ghana/Q18345334/"	"Ministry of Ghana"	"https://mesti.gov.gh/"
""Ministry of Lands and Natural Resources"	"https://www.govdirectory.org/ghana/Q30688602/"	"Ministry of Ghana"	"http://www.mlnr.gov.gh/"
