"Name"	"Govdirectory URL"	"Type"	"Website"
"Ministry of Culture and Business Affairs"	"https://www.govdirectory.org/iceland/Q115538865/"	"Icelandic government ministry"	"https://www.government.is/ministries/ministry-of-culture-and-business-affairs/"
""Ministry of Education and Children"	"https://www.govdirectory.org/iceland/Q119782382/"	"Icelandic government ministry"	"https://www.government.is/ministries/ministry-of-education-and-children/"
""Ministry of Finance and Economic Affairs"	"https://www.govdirectory.org/iceland/Q50041105/"	"Icelandic government ministry"	"https://www.government.is/ministries/ministry-of-finance-and-economic-affairs/"
""Ministry of Food, Agriculture and Fisheries"	"https://www.govdirectory.org/iceland/Q119776869/"	"Icelandic government ministry"	"https://www.government.is/ministries/ministry-of-food-agriculture-and-fisheries/"
""Ministry of Foreign Affairs of Iceland"	"https://www.govdirectory.org/iceland/Q15983772/"	"Icelandic government ministry"	"https://www.government.is/ministries/ministry-for-foreign-affairs/"
""Ministry of Health"	"https://www.govdirectory.org/iceland/Q119785974/"	"Icelandic government ministry"	"https://www.government.is/ministries/ministry-of-health/"
""Ministry of Higher Education, Science and Innovation"	"https://www.govdirectory.org/iceland/Q119443645/"	"Icelandic government ministry"	"https://www.government.is/ministries/ministry-of-higher-education-science-and-innovation/"
""Ministry of Infrastructure"	"https://www.govdirectory.org/iceland/Q119782103/"	"Icelandic government ministry"	"https://www.government.is/ministries/ministry-of-infrastructure/"
""Ministry of Justice"	"https://www.govdirectory.org/iceland/Q65336756/"	"Icelandic government ministry"	"https://www.government.is/ministries/ministry-of-justice/"
""Ministry of Social Affairs and Labour"	"https://www.govdirectory.org/iceland/Q119787362/"	"Icelandic government ministry"	"https://www.government.is/ministries/ministry-of-social-affairs-and-labour/"
""Ministry of the Environment, Energy and Climate"	"https://www.govdirectory.org/iceland/Q108063353/"	"Icelandic government ministry"	"https://www.government.is/ministries/ministry-of-the-environment-energy-and-climate/"
