"Name"	"Govdirectory URL"	"Type"	"Website"
"Telangana"	"https://www.govdirectory.org/india/Q677037/"	"state of India"	"https://www.telangana.gov.in/"
""Gujarat"	"https://www.govdirectory.org/india/Q1061/"	"state of India"	"https://www.gujaratindia.com/"
""Andhra Pradesh"	"https://www.govdirectory.org/india/Q1159/"	"state of India"	"http://www.ap.gov.in/"
""Arunachal Pradesh"	"https://www.govdirectory.org/india/Q1162/"	"state of India"	"http://arunachalpradesh.gov.in/"
""Assam"	"https://www.govdirectory.org/india/Q1164/"	"state of India"	"http://assam.gov.in/"
""Bihar"	"https://www.govdirectory.org/india/Q1165/"	"state of India"	"http://bihar.gov.in/"
""Goa"	"https://www.govdirectory.org/india/Q1171/"	"state of India"	"https://www.goa.gov.in/"
""Chhattisgarh"	"https://www.govdirectory.org/india/Q1168/"	"state of India"	"http://chhattisgarh.nic.in/"
""Haryana"	"https://www.govdirectory.org/india/Q1174/"	"state of India"	"http://www.haryana.gov.in/"
""Himachal Pradesh"	"https://www.govdirectory.org/india/Q1177/"	"state of India"	"http://himachal.nic.in/"
""Kerala"	"https://www.govdirectory.org/india/Q1186/"	"state of India"	"https://kerala.gov.in/"
""Jharkhand"	"https://www.govdirectory.org/india/Q1184/"	"state of India"	"http://jharkhand.gov.in/"
""Karnataka"	"https://www.govdirectory.org/india/Q1185/"	"state of India"	"http://www.karnataka.gov.in/"
""Maharashtra"	"https://www.govdirectory.org/india/Q1191/"	"state of India"	"https://www.maharashtra.gov.in/1125/Home"
""Madhya Pradesh"	"https://www.govdirectory.org/india/Q1188/"	"state of India"	"http://www.mp.gov.in/"
""Meghalaya"	"https://www.govdirectory.org/india/Q1195/"	"state of India"	"http://meghalaya.gov.in/"
""Manipur"	"https://www.govdirectory.org/india/Q1193/"	"state of India"	"http://manipur.gov.in/"
""West Bengal"	"https://www.govdirectory.org/india/Q1356/"	"state of India"	"https://www.wb.gov.in/"
""Tripura"	"https://www.govdirectory.org/india/Q1363/"	"state of India"	"https://tripura.gov.in/"
""Rajasthan"	"https://www.govdirectory.org/india/Q1437/"	"state of India"	"http://rajasthan.gov.in/"
""Tamil Nadu"	"https://www.govdirectory.org/india/Q1445/"	"state of India"	"http://www.tn.gov.in/"
""Uttar Pradesh"	"https://www.govdirectory.org/india/Q1498/"	"state of India"	"http://www.up.gov.in/"
""Uttarakhand"	"https://www.govdirectory.org/india/Q1499/"	"state of India"	"https://uk.gov.in/"
""Mizoram"	"https://www.govdirectory.org/india/Q1502/"	"state of India"	"http://mizoram.nic.in/"
""Sikkim"	"https://www.govdirectory.org/india/Q1505/"	"state of India"	"http://www.sikkim.gov.in/"
""Nagaland"	"https://www.govdirectory.org/india/Q1599/"	"state of India"	"http://nagaland.nic.in/"
""Odisha"	"https://www.govdirectory.org/india/Q22048/"	"state of India"	"http://www.odisha.gov.in/"
""Punjab"	"https://www.govdirectory.org/india/Q22424/"	"state of India"	"https://punjab.gov.in/"
""Ministry of Road Transport and Highways"	"https://www.govdirectory.org/india/Q167156/"	"Union Government ministries of India"	"https://morth.nic.in/"
""Ministry of Home Affairs"	"https://www.govdirectory.org/india/Q2607861/"	"Union Government ministries of India"	"https://mha.gov.in/"
""Ministry of Finance of India"	"https://www.govdirectory.org/india/Q2641068/"	"Union Government ministries of India"	"http://finmin.nic.in/"
""Ministry of Defence"	"https://www.govdirectory.org/india/Q2641653/"	"Union Government ministries of India"	"https://mod.gov.in/"
""Ministry of Environment, Forest and Climate Change"	"https://www.govdirectory.org/india/Q2749442/"	"Union Government ministries of India"	"http://www.moef.gov.in/"
""Ministry of Railways"	"https://www.govdirectory.org/india/Q3347935/"	"Union Government ministries of India"	"http://www.indianrailways.gov.in/"
