"Name"	"Govdirectory URL"	"Type"	"Website"
"Coordinating Minister for Infrastructure and Regional Development"	"https://www.govdirectory.org/indonesia/Q130772861/"	"ministry of Indonesia"	""
""Coordinating Ministry for Economic Affairs"	"https://www.govdirectory.org/indonesia/Q12490744/"	"ministry of Indonesia"	"https://www.ekon.go.id/"
""Coordinating Ministry for Human Development and Cultural Affairs"	"https://www.govdirectory.org/indonesia/Q12490743/"	"ministry of Indonesia"	"https://www.kemenkopmk.go.id/"
""Coordinating Ministry for Legal, Human Rights, Immigration, and Correction"	"https://www.govdirectory.org/indonesia/Q12490740/"	"ministry of Indonesia"	"https://www.kemenkumham.go.id/"
""Coordinating Ministry for Maritime and Investments Affairs"	"https://www.govdirectory.org/indonesia/Q19752191/"	"ministry of Indonesia"	"https://maritim.go.id/"
""Coordinating Ministry for Political and Security Affairs"	"https://www.govdirectory.org/indonesia/Q12490746/"	"ministry of Indonesia"	"https://polkam.go.id/"
""Coordinating Ministry for Social Empowerment"	"https://www.govdirectory.org/indonesia/Q130772840/"	"ministry of Indonesia"	""
""Ministry of Administrative and Bureaucratic Reform"	"https://www.govdirectory.org/indonesia/Q11049172/"	"ministry of Indonesia"	"https://www.menpan.go.id/"
""Ministry of Agriculture"	"https://www.govdirectory.org/indonesia/Q12490751/"	"ministry of Indonesia"	"https://www.pertanian.go.id/"
""Ministry of Agriculture and Spatial Planning"	"https://www.govdirectory.org/indonesia/Q19752193/"	"ministry of Indonesia"	"https://www.atrbpn.go.id/"
""Ministry of Communication and Digital Affairs"	"https://www.govdirectory.org/indonesia/Q12490742/"	"ministry of Indonesia"	"https://www.kominfo.go.id/"
""Ministry of Cooperatives of Indonesia"	"https://www.govdirectory.org/indonesia/Q11046666/"	"ministry of Indonesia"	"https://www.kemenkopukm.go.id/"
""Ministry of Creative Economy/Creative Economy Agency"	"https://www.govdirectory.org/indonesia/Q19751338/"	"ministry of Indonesia"	""
""Ministry of Cultural Affairs"	"https://www.govdirectory.org/indonesia/Q25464391/"	"ministry of Indonesia"	""
""Ministry of Defense"	"https://www.govdirectory.org/indonesia/Q12490750/"	"ministry of Indonesia"	"https://www.kemhan.go.id/"
""Ministry of Energy and Mineral Resources"	"https://www.govdirectory.org/indonesia/Q12490739/"	"ministry of Indonesia"	"https://www.esdm.go.id/"
""Ministry of Environment and Forestry"	"https://www.govdirectory.org/indonesia/Q11046738/"	"ministry of Indonesia"	"https://www.menlhk.go.id/"
""Ministry of Finance"	"https://www.govdirectory.org/indonesia/Q12490741/"	"ministry of Indonesia"	"http://kemenkeu.go.id/"
""Ministry of Foreign Affairs"	"https://www.govdirectory.org/indonesia/Q12490747/"	"ministry of Indonesia"	"http://www.kemlu.go.id/Pages/Default.aspx?l=en"
""Ministry of Forestry"	"https://www.govdirectory.org/indonesia/Q131386450/"	"ministry of Indonesia"	""
""Ministry of Health"	"https://www.govdirectory.org/indonesia/Q12490745/"	"ministry of Indonesia"	"https://www.kemkes.go.id/"
""Ministry of Higher Education, Science, and Technology (Indonesia)"	"https://www.govdirectory.org/indonesia/Q130710937/"	"ministry of Indonesia"	""
""Ministry of Home Affairs"	"https://www.govdirectory.org/indonesia/Q6867142/"	"ministry of Indonesia"	"http://www.kemendagri.go.id/"
""Ministry of Housing and Residential Area"	"https://www.govdirectory.org/indonesia/Q14917354/"	"ministry of Indonesia"	""
""Ministry of Human Rights"	"https://www.govdirectory.org/indonesia/Q3956546/"	"ministry of Indonesia"	"https://ham.go.id/"
""Ministry of Immigration and Correction"	"https://www.govdirectory.org/indonesia/Q131379661/"	"ministry of Indonesia"	""
""Ministry of Indonesian Migrant Workers Protection"	"https://www.govdirectory.org/indonesia/Q4121188/"	"ministry of Indonesia"	"https://bp2mi.go.id/"
""Ministry of Industry"	"https://www.govdirectory.org/indonesia/Q14917353/"	"ministry of Indonesia"	""
""Ministry of Investment"	"https://www.govdirectory.org/indonesia/Q106616407/"	"ministry of Indonesia"	"https://www.bkpm.go.id/"
""Ministry of Law"	"https://www.govdirectory.org/indonesia/Q131108999/"	"ministry of Indonesia"	"https://kemenkumham.go.id/"
""Ministry of Manpower"	"https://www.govdirectory.org/indonesia/Q11046949/"	"ministry of Indonesia"	"https://www.kemnaker.go.id/"
