"Name"	"Govdirectory URL"	"Type"	"Website"
"Department of Finance of Ireland"	"https://www.govdirectory.org/ireland/Q731336/"	"Department of State"	"https://www.gov.ie/finance"
""Department of Foreign Affairs of Ireland"	"https://www.govdirectory.org/ireland/Q848798/"	"Department of State"	"https://www.gov.ie/en/organisation/department-of-foreign-affairs/"
""Department of Agriculture, Food and the Marine"	"https://www.govdirectory.org/ireland/Q3044707/"	"Department of State"	"https://www.gov.ie/en/organisation/department-of-agriculture-food-and-the-marine/"
""Department of Transport of Ireland"	"https://www.govdirectory.org/ireland/Q3776946/"	"Department of State"	"https://www.gov.ie/transport/"
""Department of Enterprise, Trade and Employment"	"https://www.govdirectory.org/ireland/Q4294285/"	"Department of State"	"https://enterprise.gov.ie/"
""Department of Public Expenditure, National Development Plan Delivery and Reform"	"https://www.govdirectory.org/ireland/Q4294338/"	"Department of State"	"https://www.gov.ie/per/"
""Department of Health of Ireland"	"https://www.govdirectory.org/ireland/Q4294348/"	"Department of State"	"https://www.gov.ie/en/organisation/department-of-health/"
""Department of Tourism, Culture, Arts, Gaeltacht, Sport and Media"	"https://www.govdirectory.org/ireland/Q4294422/"	"Department of State"	"https://www.gov.ie/en/organisation/department-of-tourism-culture-arts-gaeltacht-sport-and-media/"
""Department of Defence of Ireland"	"https://www.govdirectory.org/ireland/Q4294498/"	"Department of State"	"https://www.gov.ie/en/organisation/department-of-defence/"
""Department of Education of Ireland"	"https://www.govdirectory.org/ireland/Q4294533/"	"Department of State"	"https://www.gov.ie/en/organisation/department-of-education/"
""Department of Housing, Local Government and Heritage"	"https://www.govdirectory.org/ireland/Q4294549/"	"Department of State"	"https://www.gov.ie/en/organisation/department-of-housing-local-government-and-heritage/"
""Department of Children, Equality, Disability, Integration and Youth"	"https://www.govdirectory.org/ireland/Q4294576/"	"Department of State"	"https://www.gov.ie/en/organisation/department-of-children-equality-disability-integration-and-youth/"
""Department of the Taoiseach"	"https://www.govdirectory.org/ireland/Q4294618/"	"Department of State"	"https://www.gov.ie/en/organisation/department-of-the-taoiseach/"
""Department of the Environment, Climate and Communications"	"https://www.govdirectory.org/ireland/Q4294656/"	"Department of State"	"https://www.gov.ie/en/organisation/department-of-the-environment-climate-and-communications/"
""Department of Social Protection"	"https://www.govdirectory.org/ireland/Q4294697/"	"Department of State"	"https://www.gov.ie/en/organisation/department-of-social-protection/"
""Department of Justice of Ireland"	"https://www.govdirectory.org/ireland/Q4294883/"	"Department of State"	"https://www.gov.ie/en/organisation/department-of-justice/"
""Department of Rural and Community Development"	"https://www.govdirectory.org/ireland/Q5260191/"	"Department of State"	"https://www.gov.ie/drcd/"
""Department of Further and Higher Education, Research, Innovation and Science"	"https://www.govdirectory.org/ireland/Q97610113/"	"Department of State"	"https://www.gov.ie/dfheris/"
"
