"Name"	"Govdirectory URL"	"Type"	"Website"
"Ministry of Foreign Affairs"	"https://www.govdirectory.org/latvia/Q285178/"	"Ministry of Latvia"	"http://www.mfa.gov.lv/"
""Ministry of Defence of Latvia"	"https://www.govdirectory.org/latvia/Q3315274/"	"Ministry of Latvia"	""
""Ministry of Finance"	"https://www.govdirectory.org/latvia/Q5892583/"	"Ministry of Latvia"	"http://www.fm.gov.lv/"
""Ministry of Justice"	"https://www.govdirectory.org/latvia/Q5892607/"	"Ministry of Latvia"	"https://www.tm.gov.lv/lv"
""Ministry of Economics"	"https://www.govdirectory.org/latvia/Q6866808/"	"Ministry of Latvia"	"https://www.em.gov.lv/"
""Ministry of Transport"	"https://www.govdirectory.org/latvia/Q6867614/"	"Ministry of Latvia"	"http://sam.gov.lv/"
""Ministry of Agriculture"	"https://www.govdirectory.org/latvia/Q14946447/"	"Ministry of Latvia"	"https://www.zm.gov.lv/"
""Ministry of Education and Science"	"https://www.govdirectory.org/latvia/Q16361561/"	"Ministry of Latvia"	"http://izm.gov.lv/"
""Ministry of Culture of the Republic of Latvia"	"https://www.govdirectory.org/latvia/Q16361564/"	"Ministry of Latvia"	"http://www.km.gov.lv/en/"
""Ministry of Welfare"	"https://www.govdirectory.org/latvia/Q16361568/"	"Ministry of Latvia"	"http://lm.gov.lv/"
""Ministry of Health"	"https://www.govdirectory.org/latvia/Q16361582/"	"Ministry of Latvia"	"http://www.vm.gov.lv/"
""Ministry of Environmental Protection and Regional Development"	"https://www.govdirectory.org/latvia/Q16361585/"	"Ministry of Latvia"	"http://varam.gov.lv/"
""Ministry of the Interior of the Republic of Latvia"	"https://www.govdirectory.org/latvia/Q18752389/"	"Ministry of Latvia"	"http://www.iem.gov.lv/"
""Ministry of Climate and Energy of Latvia"	"https://www.govdirectory.org/latvia/Q130246334/"	"Ministry of Latvia"	"https://www.kem.gov.lv/"
""Permanent Representation of Latvia to the European Union"	"https://www.govdirectory.org/latvia/Q131598548/"	"permanent mission"	"https://www2.mfa.gov.lv/brussels"
""Permanent Mission of Latvia to the United Nations"	"https://www.govdirectory.org/latvia/Q131598749/"	"permanent mission"	"https://www2.mfa.gov.lv/newyork"
""Permanent Mission of Latvia to the UN in Geneva"	"https://www.govdirectory.org/latvia/Q131599247/"	"permanent mission"	"https://www2.mfa.gov.lv/geneva"
""Permanent Representation of Latvia to the Council of Europe"	"https://www.govdirectory.org/latvia/Q131605011/"	"permanent mission"	"https://www.mfa.gov.lv/lv/pastaviga-parstavnieciba-eiropas-padome"
""Permanent Delegation of Latvia to NATO"	"https://www.govdirectory.org/latvia/Q131605181/"	"permanent mission"	""
""Permanent Representation of Latvia to the OECD and UNESCO"	"https://www.govdirectory.org/latvia/Q131605615/"	"permanent mission"	"https://www.mfa.gov.lv/lv/pastaviga-parstavnieciba-oecd-un-unesco"
