"Name"	"Govdirectory URL"	"Type"	"Website"
"Canton of Capellen"	"https://www.govdirectory.org/luxembourg/Q397678/"	"canton of Luxembourg"	""
""Canton of Clervaux"	"https://www.govdirectory.org/luxembourg/Q691793/"	"canton of Luxembourg"	""
""Canton of Diekirch"	"https://www.govdirectory.org/luxembourg/Q691842/"	"canton of Luxembourg"	""
""Canton of Echternach"	"https://www.govdirectory.org/luxembourg/Q720221/"	"canton of Luxembourg"	""
""Canton of Esch-sur-Alzette"	"https://www.govdirectory.org/luxembourg/Q188283/"	"canton of Luxembourg"	""
""Canton of Grevenmacher"	"https://www.govdirectory.org/luxembourg/Q836002/"	"canton of Luxembourg"	""
""Canton of Luxembourg"	"https://www.govdirectory.org/luxembourg/Q691741/"	"canton of Luxembourg"	""
""Canton of Mersch"	"https://www.govdirectory.org/luxembourg/Q753917/"	"canton of Luxembourg"	""
""Canton of Redange"	"https://www.govdirectory.org/luxembourg/Q835980/"	"canton of Luxembourg"	""
""Canton of Remich"	"https://www.govdirectory.org/luxembourg/Q691781/"	"canton of Luxembourg"	""
""Canton of Vianden"	"https://www.govdirectory.org/luxembourg/Q845600/"	"canton of Luxembourg"	""
""Canton of Wiltz"	"https://www.govdirectory.org/luxembourg/Q550021/"	"canton of Luxembourg"	""
""Beaufort"	"https://www.govdirectory.org/luxembourg/Q18693153/"	"municipality of Luxembourg"	"http://www.beaufort.lu/"
""Bech"	"https://www.govdirectory.org/luxembourg/Q813593/"	"municipality of Luxembourg"	"http://www.bech.lu/"
""Beckerich"	"https://www.govdirectory.org/luxembourg/Q813727/"	"municipality of Luxembourg"	"https://beckerich.lu/"
""Berdorf"	"https://www.govdirectory.org/luxembourg/Q818891/"	"municipality of Luxembourg"	"https://www.berdorf.lu/"
""Bertrange"	"https://www.govdirectory.org/luxembourg/Q809603/"	"municipality of Luxembourg"	"https://www.bertrange.lu/"
""Bettembourg"	"https://www.govdirectory.org/luxembourg/Q832342/"	"municipality of Luxembourg"	"https://bettembourg.lu/"
""Bettendorf"	"https://www.govdirectory.org/luxembourg/Q832382/"	"municipality of Luxembourg"	"http://www.bettendorf.lu/"
""Betzdorf"	"https://www.govdirectory.org/luxembourg/Q850734/"	"municipality of Luxembourg"	"https://betzdorf.lu/"
