"Name"	"Govdirectory URL"	"Type"	"Website"
"Kuala Lumpur"	"https://www.govdirectory.org/malaysia/Q1865/"	"federal territory of Malaysia"	"http://www.dbkl.gov.my/"
""Labuan"	"https://www.govdirectory.org/malaysia/Q214504/"	"federal territory of Malaysia"	"https://www.pl.gov.my/"
""Putrajaya"	"https://www.govdirectory.org/malaysia/Q182378/"	"federal territory of Malaysia"	"https://www.ppj.gov.my/"
""Malaysian Prime Minister's Department"	"https://www.govdirectory.org/malaysia/Q7243278/"	"ministry of Malaysia"	"https://www.jpm.gov.my/ms/"
""Ministry of Agriculture and Agro Based Industry"	"https://www.govdirectory.org/malaysia/Q22222773/"	"ministry of Malaysia"	"https://www.mafi.gov.my/"
""Ministry of Communications and Multimedia"	"https://www.govdirectory.org/malaysia/Q12689905/"	"ministry of Malaysia"	"https://www.kkd.gov.my/"
""Ministry of Defence of Malaysia"	"https://www.govdirectory.org/malaysia/Q4294501/"	"ministry of Malaysia"	"http://www.mod.gov.my/"
""Ministry of Digital"	"https://www.govdirectory.org/malaysia/Q123784500/"	"ministry of Malaysia"	"https://www.digital.gov.my/"
""Ministry of Domestic Trade and Consumer Affairs"	"https://www.govdirectory.org/malaysia/Q12689906/"	"ministry of Malaysia"	"https://www.kpdnhep.gov.my/ms/"
""Ministry of Education"	"https://www.govdirectory.org/malaysia/Q3816079/"	"ministry of Malaysia"	"http://www.moe.gov.my/"
""Ministry of Energy and Natural Resources"	"https://www.govdirectory.org/malaysia/Q6867411/"	"ministry of Malaysia"	"https://www.ketsa.gov.my/ms-my/Pages/default.aspx"
""Ministry of Entrepreneurship Development and Co-operatives"	"https://www.govdirectory.org/malaysia/Q7361923/"	"ministry of Malaysia"	"https://www.medac.gov.my/"
""Ministry of Environment and Water"	"https://www.govdirectory.org/malaysia/Q106594790/"	"ministry of Malaysia"	"https://www.kasa.gov.my/"
""Ministry of Finance Malaysia"	"https://www.govdirectory.org/malaysia/Q7361911/"	"ministry of Malaysia"	"https://www.mof.gov.my/"
""Ministry of Foreign Affairs of Malaysia"	"https://www.govdirectory.org/malaysia/Q3527309/"	"ministry of Malaysia"	"http://www.kln.gov.my/web/guest/home"
""Ministry of Health"	"https://www.govdirectory.org/malaysia/Q4294352/"	"ministry of Malaysia"	"https://www.moh.gov.my/"
""Ministry of Higher Education"	"https://www.govdirectory.org/malaysia/Q3893588/"	"ministry of Malaysia"	"http://www.mohe.gov.my/"
""Ministry of Home Affairs"	"https://www.govdirectory.org/malaysia/Q4294304/"	"ministry of Malaysia"	"http://www.moha.gov.my/"
""Ministry of Housing and Local Government"	"https://www.govdirectory.org/malaysia/Q6867161/"	"ministry of Malaysia"	"https://www.kpkt.gov.my/"
""Ministry of Human Resources"	"https://www.govdirectory.org/malaysia/Q6867162/"	"ministry of Malaysia"	"https://mohr.gov.my/index.php/ms/"
""Ministry of International Trade and Industry"	"https://www.govdirectory.org/malaysia/Q14933204/"	"ministry of Malaysia"	"https://www.miti.gov.my/"
""Ministry of National Unity"	"https://www.govdirectory.org/malaysia/Q110133233/"	"ministry of Malaysia"	"https://www.perpaduan.gov.my/index.php/bm/"
""Ministry of Plantation Industries and Commodities"	"https://www.govdirectory.org/malaysia/Q1937202/"	"ministry of Malaysia"	"https://www.mpic.gov.my/mpi/"
""Ministry of Rural and Regional Development"	"https://www.govdirectory.org/malaysia/Q6867519/"	"ministry of Malaysia"	"https://www.rurallink.gov.my/"
