"Name"	"Govdirectory URL"	"Type"	"Website"
"Ministry For Active Ageing"	"https://www.govdirectory.org/malta/Q119992763/"	"Ministry of Malta"	"https://activeageing.gov.mt/"
""Ministry For Education, Sport, Youth, Research And Innovation"	"https://www.govdirectory.org/malta/Q119992023/"	"Ministry of Malta"	"https://education.gov.mt/"
""Ministry For Finance And Employment"	"https://www.govdirectory.org/malta/Q119991513/"	"Ministry of Malta"	"https://finance.gov.mt/"
""Ministry For Justice"	"https://www.govdirectory.org/malta/Q119992539/"	"Ministry of Malta"	"https://justice.gov.mt/"
""Ministry For Public Works And Planning"	"https://www.govdirectory.org/malta/Q119992346/"	"Ministry of Malta"	"https://publicworks.gov.mt/"
""Ministry For The Environment, Energy And Enterprise"	"https://www.govdirectory.org/malta/Q119991047/"	"Ministry of Malta"	"https://sustainability.gov.mt/"
""Ministry for Agriculture, Fisheries and Animal Rights"	"https://www.govdirectory.org/malta/Q119776510/"	"Ministry of Malta"	"https://agriculture.gov.mt/"
""Ministry for Foreign and European Affairs and Trade"	"https://www.govdirectory.org/malta/Q119776293/"	"Ministry of Malta"	"https://foreign.gov.mt/"
""Ministry for Gozo"	"https://www.govdirectory.org/malta/Q60771868/"	"Ministry of Malta"	"https://gozo.gov.mt/"
""Ministry for Health"	"https://www.govdirectory.org/malta/Q52842737/"	"Ministry of Malta"	"https://sahha.gov.mt/"
""Ministry for Social Policy and Children's Rights"	"https://www.govdirectory.org/malta/Q119776457/"	"Ministry of Malta"	"https://family.gov.mt/"
""Ministry for Social and Affordable Accommodation"	"https://www.govdirectory.org/malta/Q119776541/"	"Ministry of Malta"	"https://accommodation.gov.mt/"
""Ministry for Tourism"	"https://www.govdirectory.org/malta/Q52842775/"	"Ministry of Malta"	"https://tourism.gov.mt/"
""Ministry for Transport, Infrastructure and Capital Projects"	"https://www.govdirectory.org/malta/Q52844493/"	"Ministry of Malta"	"https://mtip.gov.mt/"
""Ministry for home affairs, security, reforms and equality"	"https://www.govdirectory.org/malta/Q119776484/"	"Ministry of Malta"	"https://homeaffairs.gov.mt/"
""Ministry for inclusion, voluntary organisations and consumer rights"	"https://www.govdirectory.org/malta/Q119776319/"	"Ministry of Malta"	"https://inclusion.gov.mt/"
""Ministry for the National Heritage, The Arts and Local Government"	"https://www.govdirectory.org/malta/Q119776179/"	"Ministry of Malta"	"https://culture.gov.mt/"
""Ministry for the economy, european funds and lands"	"https://www.govdirectory.org/malta/Q119775858/"	"Ministry of Malta"	"https://economy.gov.mt/"
""Eastern Region (Lvant)"	"https://www.govdirectory.org/malta/Q120512582/"	"region of Malta"	"https://localgovernment.gov.mt/public-bodies/eastern-region-lvant/"
""Gozo Region (Ghawdex)"	"https://www.govdirectory.org/malta/Q2054290/"	"region of Malta"	"https://localgovernment.gov.mt/public-body/gozo-region-ghawdex/"
""Northern Region (Tramuntana)"	"https://www.govdirectory.org/malta/Q20199334/"	"region of Malta"	"https://localgovernment.gov.mt/public-body/northern-region-tramuntana/"
""Port Region (Port)"	"https://www.govdirectory.org/malta/Q120512566/"	"region of Malta"	"https://localgovernment.gov.mt/public-body/port-region-port/"
""Southern Region (Nofsinhar)"	"https://www.govdirectory.org/malta/Q20199405/"	"region of Malta"	"https://www.regjunnofsinhar.org/"
""Western Region (Punent)"	"https://www.govdirectory.org/malta/Q120512576/"	"region of Malta"	"https://localgovernment.gov.mt/public-bodies/western-region-punent/"
"
