"Name"	"Govdirectory URL"	"Type"	"Website"
"Béni Mellal-Khénifra Regional Council"	"https://www.govdirectory.org/morocco/Q109019065/"	"regional council in Morocco"	""
""Casablanca-Settat Regional Council"	"https://www.govdirectory.org/morocco/Q109019066/"	"regional council in Morocco"	"https://casasettat.ma/"
""Dakhla-Oued Ed-Dahab Regional Council"	"https://www.govdirectory.org/morocco/Q109019068/"	"regional council in Morocco"	""
""Drâa-Tafilalet Regional Council"	"https://www.govdirectory.org/morocco/Q109019069/"	"regional council in Morocco"	""
""Fez-Meknes Regional Council"	"https://www.govdirectory.org/morocco/Q97183909/"	"regional council in Morocco"	"https://www.region-fes-meknes.ma/"
""Guelmim-Oued Noun Regional Council"	"https://www.govdirectory.org/morocco/Q109019070/"	"regional council in Morocco"	""
""Laâyoune-Sakia El Hamra Regional Council"	"https://www.govdirectory.org/morocco/Q109019072/"	"regional council in Morocco"	""
""Marrakesh–Safi Regional Council"	"https://www.govdirectory.org/morocco/Q109019073/"	"regional council in Morocco"	"https://www.regionmarrakech-safi.ma/"
""Oriental Regional Council"	"https://www.govdirectory.org/morocco/Q109019071/"	"regional council in Morocco"	"https://conseilregionoriental.ma/"
""Rabat-Salé-Kénitra Regional Council"	"https://www.govdirectory.org/morocco/Q109019074/"	"regional council in Morocco"	""
""Souss-Massa Regional Council"	"https://www.govdirectory.org/morocco/Q109019075/"	"regional council in Morocco"	"https://www.soussmassa.ma/"
""Tangier-Tetouan-Al Hoceima Regional Council"	"https://www.govdirectory.org/morocco/Q109019077/"	"regional council in Morocco"	"https://crtta.ma/"
""Abdelmalek Essaâdi University"	"https://www.govdirectory.org/morocco/Q3551367/"	"Moroccan public institution"	"http://www.uae.ma/"
""Agence Nationale pour la Promotion des Petites et Moyennes Entreprises"	"https://www.govdirectory.org/morocco/Q30261642/"	"Moroccan public institution"	"https://marocpme.gov.ma/"
""Agence du Bassin Hydraulique de Sebou"	"https://www.govdirectory.org/morocco/Q30261646/"	"Moroccan public institution"	"http://www.abhsebou.ma/"
""Agence urbaine de Casablanca"	"https://www.govdirectory.org/morocco/Q27961893/"	"Moroccan public institution"	"http://www.auc.ma/"
""Agency for the development of the Bouregreg valley"	"https://www.govdirectory.org/morocco/Q2826691/"	"Moroccan public institution"	"http://www.bouregreg.com/"
""Archives du Maroc"	"https://www.govdirectory.org/morocco/Q39048614/"	"Moroccan public institution"	"https://www.archivesdumaroc.ma/"
