"Name"	"Govdirectory URL"	"Type"	"Website"
"Ministry of Agriculture and Livestock Development"	"https://www.govdirectory.org/nepal/Q19671488/"	"ministry of Nepal"	"https://moald.gov.np/"
""Ministry of Culture, Tourism and Civil Aviation"	"https://www.govdirectory.org/nepal/Q13186531/"	"ministry of Nepal"	"http://tourism.gov.np/"
""Ministry of Defence"	"https://www.govdirectory.org/nepal/Q13185205/"	"ministry of Nepal"	"https://mod.gov.np/"
""Ministry of Education, Science and Technology"	"https://www.govdirectory.org/nepal/Q17010299/"	"ministry of Nepal"	"http://moe.gov.np/"
""Ministry of Energy, Water Resources and Irrigation"	"https://www.govdirectory.org/nepal/Q17010322/"	"ministry of Nepal"	"https://www.moewri.gov.np/"
""Ministry of Federal Affairs and General Administration"	"https://www.govdirectory.org/nepal/Q17010332/"	"ministry of Nepal"	"https://mofaga.gov.np/"
""Ministry of Finance"	"https://www.govdirectory.org/nepal/Q17010343/"	"ministry of Nepal"	"http://www.mof.gov.np/"
""Ministry of Foreign Affairs"	"https://www.govdirectory.org/nepal/Q6867016/"	"ministry of Nepal"	"http://www.mofa.gov.np/"
""Ministry of Forests and Environment"	"https://www.govdirectory.org/nepal/Q19683588/"	"ministry of Nepal"	"http://mfsc.gov.np/"
""Ministry of Health and Population"	"https://www.govdirectory.org/nepal/Q16257878/"	"ministry of Nepal"	"http://mohp.gov.np/"
""Ministry of Home Affairs"	"https://www.govdirectory.org/nepal/Q17010404/"	"ministry of Nepal"	"https://www.moha.gov.np/"
""Ministry of Labour, Employment and Social Security"	"https://www.govdirectory.org/nepal/Q19711629/"	"ministry of Nepal"	"https://moless.gov.np/"
""Ministry of Land Management, Cooperatives and Poverty Alleviation"	"https://www.govdirectory.org/nepal/Q19682053/"	"ministry of Nepal"	"https://molcpa.gov.np/home"
""Ministry of Law, Justice, and Parliamentary Affairs"	"https://www.govdirectory.org/nepal/Q19671248/"	"ministry of Nepal"	"http://www.moljpa.gov.np/"
""Ministry of Peace and Reconstruction"	"https://www.govdirectory.org/nepal/Q17010467/"	"ministry of Nepal"	"http://peace.gov.np/"
""Ministry of Physical Infrastructure and Transport"	"https://www.govdirectory.org/nepal/Q19682107/"	"ministry of Nepal"	"http://www.mopit.gov.np/"
""Ministry of Science, Technology and Environment"	"https://www.govdirectory.org/nepal/Q13186005/"	"ministry of Nepal"	"https://moest.gov.np/"
""Ministry of Urban Development"	"https://www.govdirectory.org/nepal/Q17010497/"	"ministry of Nepal"	"http://moud.gov.np/"
""Ministry of Women, Children and Senior Citizens"	"https://www.govdirectory.org/nepal/Q19682327/"	"ministry of Nepal"	"https://mowcsc.gov.np/"
""Ministry of Youth and Sports"	"https://www.govdirectory.org/nepal/Q17010539/"	"ministry of Nepal"	"https://moys.gov.np/"
