"Name"	"Govdirectory URL"	"Type"	"Website"
"Council of State"	"https://www.govdirectory.org/netherlands/Q1155243/"	"High Council of State"	"http://www.raadvanstate.nl/"
""Dutch House of Representatives"	"https://www.govdirectory.org/netherlands/Q233262/"	"High Council of State"	"https://www.tweedekamer.nl/"
""Dutch Senate"	"https://www.govdirectory.org/netherlands/Q59486/"	"High Council of State"	"https://www.eerstekamer.nl/"
""Kabinet van de Koning"	"https://www.govdirectory.org/netherlands/Q1857094/"	"cabinet of the King"	"https://www.kabinetvandekoning.nl/"
""Kanselarij der Nederlandse Orden"	"https://www.govdirectory.org/netherlands/Q105626749/"	"High Council of State"	"https://www.lintjes.nl/"
""National Ombudsman"	"https://www.govdirectory.org/netherlands/Q116480828/"	"High Council of State"	"https://www.nationaleombudsman.nl/"
""Netherlands Court of Audit"	"https://www.govdirectory.org/netherlands/Q2041110/"	"High Council of State"	"https://www.rekenkamer.nl/"
""Drenthe"	"https://www.govdirectory.org/netherlands/Q772/"	"province of the Netherlands"	"http://www.drenthe.nl/"
""Flevoland"	"https://www.govdirectory.org/netherlands/Q707/"	"province of the Netherlands"	"https://www.flevoland.nl/"
""Friesland"	"https://www.govdirectory.org/netherlands/Q770/"	"province of the Netherlands"	"https://www.fryslan.frl/"
""Gelderland"	"https://www.govdirectory.org/netherlands/Q775/"	"province of the Netherlands"	"https://www.gelderland.nl/"
""Groningen"	"https://www.govdirectory.org/netherlands/Q752/"	"province of the Netherlands"	"http://www.provinciegroningen.nl/"
""Limburg"	"https://www.govdirectory.org/netherlands/Q1093/"	"province of the Netherlands"	"https://www.limburg.nl/"
""North Brabant"	"https://www.govdirectory.org/netherlands/Q1101/"	"province of the Netherlands"	"https://www.brabant.nl/"
""North Holland"	"https://www.govdirectory.org/netherlands/Q701/"	"province of the Netherlands"	"https://www.noord-holland.nl/"
""Overijssel"	"https://www.govdirectory.org/netherlands/Q773/"	"province of the Netherlands"	"https://www.overijssel.nl/"
""South Holland"	"https://www.govdirectory.org/netherlands/Q694/"	"province of the Netherlands"	"https://www.zuid-holland.nl/"
""Utrecht"	"https://www.govdirectory.org/netherlands/Q776/"	"province of the Netherlands"	"https://www.provincie-utrecht.nl/"
""Zeeland"	"https://www.govdirectory.org/netherlands/Q705/"	"province of the Netherlands"	"https://www.zeeland.nl/"
""Council of State"	"https://www.govdirectory.org/netherlands/Q1155243/"	"supreme court"	"http://www.raadvanstate.nl/"
""Supreme Court of the Netherlands"	"https://www.govdirectory.org/netherlands/Q133765/"	"supreme court"	"https://www.hogeraad.nl/"
""'s-Hertogenbosch"	"https://www.govdirectory.org/netherlands/Q9807/"	"municipality of the Netherlands"	"https://www.s-hertogenbosch.nl/"
""Aa en Hunze"	"https://www.govdirectory.org/netherlands/Q300665/"	"municipality of the Netherlands"	"https://www.aaenhunze.nl/"
""Aalsmeer"	"https://www.govdirectory.org/netherlands/Q9897/"	"municipality of the Netherlands"	"https://www.aalsmeer.nl/"
""Aalten"	"https://www.govdirectory.org/netherlands/Q275909/"	"municipality of the Netherlands"	"https://www.aalten.nl/"
""Achtkarspelen"	"https://www.govdirectory.org/netherlands/Q341024/"	"municipality of the Netherlands"	"https://www.achtkarspelen.nl/"
""Alblasserdam"	"https://www.govdirectory.org/netherlands/Q736131/"	"municipality of the Netherlands"	"http://www.alblasserdam.nl/"
""Albrandswaard"	"https://www.govdirectory.org/netherlands/Q934525/"	"municipality of the Netherlands"	"https://www.albrandswaard.nl/"
""Alkmaar"	"https://www.govdirectory.org/netherlands/Q972/"	"municipality of the Netherlands"	"https://www.alkmaar.nl/"
""Almelo"	"https://www.govdirectory.org/netherlands/Q988/"	"municipality of the Netherlands"	"http://www.almelo.nl/"
""Almere"	"https://www.govdirectory.org/netherlands/Q83178/"	"municipality of the Netherlands"	"https://www.almere.nl/"
""Alphen aan den Rijn"	"https://www.govdirectory.org/netherlands/Q213246/"	"municipality of the Netherlands"	"https://www.alphenaandenrijn.nl/"
""Alphen-Chaam"	"https://www.govdirectory.org/netherlands/Q9809/"	"municipality of the Netherlands"	"https://www.alphen-chaam.nl/"
""Altena"	"https://www.govdirectory.org/netherlands/Q28057171/"	"municipality of the Netherlands"	"https://www.gemeentealtena.nl/"
""Ameland"	"https://www.govdirectory.org/netherlands/Q208259/"	"municipality of the Netherlands"	"https://www.ameland.nl/"
""Amersfoort"	"https://www.govdirectory.org/netherlands/Q992/"	"municipality of the Netherlands"	"https://www.amersfoort.nl/"
""Amstelveen"	"https://www.govdirectory.org/netherlands/Q9898/"	"municipality of the Netherlands"	"https://www.amstelveen.nl/"
