"Name"	"Govdirectory URL"	"Type"	"Website"
"New Zealand Infrastructure Commission"	"https://www.govdirectory.org/new-zealand/Q96395409/"	"Autonomous Crown Entity"	"https://tewaihanga.govt.nz/"
""Artificial Limb Service"	"https://www.govdirectory.org/new-zealand/Q125959643/"	"Autonomous Crown Entity"	"https://www.pw.co.nz/"
""Guardians of New Zealand Superannuation"	"https://www.govdirectory.org/new-zealand/Q125959708/"	"Autonomous Crown Entity"	"https://nzsuperfund.nz/"
""Government Superannuation Fund Authority"	"https://www.govdirectory.org/new-zealand/Q125959825/"	"Autonomous Crown Entity"	"https://www.gsfa.govt.nz/"
""Heritage New Zealand"	"https://www.govdirectory.org/new-zealand/Q277375/"	"Autonomous Crown Entity"	"https://www.heritage.org.nz/"
""Museum of New Zealand Te Papa Tongarewa"	"https://www.govdirectory.org/new-zealand/Q915603/"	"Autonomous Crown Entity"	"https://www.tepapa.govt.nz/"
""New Zealand Symphony Orchestra"	"https://www.govdirectory.org/new-zealand/Q2667562/"	"Autonomous Crown Entity"	"https://www.nzso.co.nz/"
""Te Ara Ahunga Ora Retirement Commission"	"https://www.govdirectory.org/new-zealand/Q5152647/"	"Autonomous Crown Entity"	"https://retirement.govt.nz/"
""Creative New Zealand"	"https://www.govdirectory.org/new-zealand/Q5183529/"	"Autonomous Crown Entity"	"http://www.creativenz.govt.nz/"
""International Accreditation New Zealand"	"https://www.govdirectory.org/new-zealand/Q6048089/"	"Autonomous Crown Entity"	"https://www.ianz.govt.nz/"
""Māori Language Commission"	"https://www.govdirectory.org/new-zealand/Q6950621/"	"Autonomous Crown Entity"	"https://www.tetaurawhiri.govt.nz/"
""New Zealand Film Commission"	"https://www.govdirectory.org/new-zealand/Q7015366/"	"Autonomous Crown Entity"	"https://www.nzfilm.co.nz/"
""Public Trust"	"https://www.govdirectory.org/new-zealand/Q7257649/"	"Autonomous Crown Entity"	"https://www.publictrust.co.nz/"
""Māori Broadcast Funding Agency"	"https://www.govdirectory.org/new-zealand/Q7690885/"	"Autonomous Crown Entity"	"https://www.tmp.govt.nz/"
""New Zealand Lotteries Commission"	"https://www.govdirectory.org/new-zealand/Q17055330/"	"Autonomous Crown Entity"	"https://mylotto.co.nz/"
""NZ On Air"	"https://www.govdirectory.org/new-zealand/Q17056081/"	"Autonomous Crown Entity"	"https://www.nzonair.govt.nz/"
""AgResearch"	"https://www.govdirectory.org/new-zealand/Q389704/"	"Crown Research Institute"	"http://www.agresearch.co.nz/"
""GNS Science"	"https://www.govdirectory.org/new-zealand/Q935203/"	"Crown Research Institute"	"http://gns.cri.nz/"
""National Institute of Water and Atmospheric Research"	"https://www.govdirectory.org/new-zealand/Q1466498/"	"Crown Research Institute"	"https://niwa.co.nz/"
""Plant & Food Research"	"https://www.govdirectory.org/new-zealand/Q1503201/"	"Crown Research Institute"	"https://plantandfood.co.nz/"
""Institute of Environmental Science and Research"	"https://www.govdirectory.org/new-zealand/Q1665158/"	"Crown Research Institute"	"http://www.esr.cri.nz/"
""Manaaki Whenua – Landcare Research"	"https://www.govdirectory.org/new-zealand/Q1801980/"	"Crown Research Institute"	"https://www.landcareresearch.co.nz/"
""Scion"	"https://www.govdirectory.org/new-zealand/Q1983244/"	"Crown Research Institute"	"http://www.scionresearch.com/"
""Climate Change Commission"	"https://www.govdirectory.org/new-zealand/Q105605632/"	"Independent Crown Entity"	"https://www.climatecommission.govt.nz/"
""Criminal Cases Review Commission"	"https://www.govdirectory.org/new-zealand/Q105615367/"	"Independent Crown Entity"	"https://www.ccrc.nz/"
""Office of the Privacy Commissioner"	"https://www.govdirectory.org/new-zealand/Q112301514/"	"Independent Crown Entity"	"https://www.privacy.org.nz/"
""Children and Young People's Commission"	"https://www.govdirectory.org/new-zealand/Q124217305/"	"Independent Crown Entity"	"https://www.manamokopuna.org.nz/"
""Mental Health and Wellbeing Commission"	"https://www.govdirectory.org/new-zealand/Q126075701/"	"Independent Crown Entity"	"https://www.mhwc.govt.nz/"
""External reporting board"	"https://www.govdirectory.org/new-zealand/Q126083678/"	"Independent Crown Entity"	"https://www.xrb.govt.nz/"
""Drug Free Sport New Zealand"	"https://www.govdirectory.org/new-zealand/Q126084234/"	"Independent Crown Entity"	"https://drugfreesport.org.nz/"
""Takeovers Panel"	"https://www.govdirectory.org/new-zealand/Q126085687/"	"Independent Crown Entity"	"https://www.takeovers.govt.nz/"
""Office of Film and Literature Classification"	"https://www.govdirectory.org/new-zealand/Q1352932/"	"Independent Crown Entity"	"https://www.classificationoffice.govt.nz/"
""Broadcasting Standards Authority"	"https://www.govdirectory.org/new-zealand/Q2925846/"	"Independent Crown Entity"	"https://www.bsa.govt.nz/"
""Commerce Commission"	"https://www.govdirectory.org/new-zealand/Q5152424/"	"Independent Crown Entity"	"https://comcom.govt.nz/"
""Electoral Commission"	"https://www.govdirectory.org/new-zealand/Q5354977/"	"Independent Crown Entity"	"https://vote.nz/"
""Electricity Authority"	"https://www.govdirectory.org/new-zealand/Q5357789/"	"Independent Crown Entity"	"https://www.ea.govt.nz/"
""Financial Markets Authority"	"https://www.govdirectory.org/new-zealand/Q5449620/"	"Independent Crown Entity"	"https://www.fma.govt.nz/"
""Health and Disability Commissioner"	"https://www.govdirectory.org/new-zealand/Q5690737/"	"Independent Crown Entity"	"https://www.hdc.org.nz/"
""Human Rights Commission"	"https://www.govdirectory.org/new-zealand/Q5937427/"	"Independent Crown Entity"	"https://tikatangata.org.nz/"
""Independent Police Conduct Authority"	"https://www.govdirectory.org/new-zealand/Q6017012/"	"Independent Crown Entity"	"https://www.ipca.govt.nz/"
""New Zealand Law Commission"	"https://www.govdirectory.org/new-zealand/Q7015466/"	"Independent Crown Entity"	"https://www.lawcom.govt.nz/"
""Transport Accident Investigation Commission"	"https://www.govdirectory.org/new-zealand/Q7834851/"	"Independent Crown Entity"	"https://www.taic.org.nz/"
""Government Communications Security Bureau"	"https://www.govdirectory.org/new-zealand/Q382463/"	"New Zealand Public Service department"	"https://www.gcsb.govt.nz/"
""Department of Conservation"	"https://www.govdirectory.org/new-zealand/Q1191417/"	"New Zealand Public Service department"	"https://doc.govt.nz/"
""New Zealand Security Intelligence Service"	"https://www.govdirectory.org/new-zealand/Q1195581/"	"New Zealand Public Service department"	"http://www.nzsis.govt.nz/"
""Inland Revenue"	"https://www.govdirectory.org/new-zealand/Q1663781/"	"New Zealand Public Service department"	"https://www.ird.govt.nz/"
""Ministry of Māori Development"	"https://www.govdirectory.org/new-zealand/Q1768409/"	"New Zealand Public Service department"	"http://www.tpk.govt.nz/"
