"Name"	"Govdirectory URL"	"Type"	"Website"
"Norway's Ministry of Local Government and Modernisation"	"https://www.govdirectory.org/norway/Q1769393/"	"Ministry of Norway"	"https://regjeringen.no/kdd/"
""Norwegian Ministry of Health and Care Services"	"https://www.govdirectory.org/norway/Q1769397/"	"Ministry of Norway"	"https://www.regjeringen.no/dep/hod/"
""Ministry of Finance of Norway"	"https://www.govdirectory.org/norway/Q1769416/"	"Ministry of Norway"	"https://www.regjeringen.no/no/dep/fin/id216/"
""Ministry of Culture of Norway"	"https://www.govdirectory.org/norway/Q1769421/"	"Ministry of Norway"	"https://www.regjeringen.no/no/dep/kud/"
""Ministry of Justice and Public Security of Norway"	"https://www.govdirectory.org/norway/Q1769425/"	"Ministry of Norway"	"http://www.regjeringen.no/jd"
""Ministry of Climate and Environment"	"https://www.govdirectory.org/norway/Q1769642/"	"Ministry of Norway"	"https://www.regjeringen.no/no/dep/kld/id668/"
""Ministry of Education and Research of Norway"	"https://www.govdirectory.org/norway/Q1769657/"	"Ministry of Norway"	"http://kunnskapsdepartementet.no/"
""Ministry of Transport and Communications"	"https://www.govdirectory.org/norway/Q1769674/"	"Ministry of Norway"	"http://www.regjeringen.no/nb/dep/sd.html?id=791"
""Ministry of Energy of Norway"	"https://www.govdirectory.org/norway/Q2607880/"	"Ministry of Norway"	"https://www.regjeringen.no/no/dep/ed/id750/"
""Ministry of Children and Families"	"https://www.govdirectory.org/norway/Q2607887/"	"Ministry of Norway"	"https://www.regjeringen.no/no/dep/bfd/id298/"
""Ministry of Agriculture and Food"	"https://www.govdirectory.org/norway/Q2607906/"	"Ministry of Norway"	"https://www.regjeringen.no/no/dep/lmd/id627/"
""Ministry of Labour and Social Inclusion of Norway"	"https://www.govdirectory.org/norway/Q2608014/"	"Ministry of Norway"	"https://regjeringen.no/aid/"
""Ministry of Foreign Affairs of Norway"	"https://www.govdirectory.org/norway/Q2982622/"	"Ministry of Norway"	"https://www.regjeringen.no/no/dep/ud/id833/"
""Ministry of Defence of Norway"	"https://www.govdirectory.org/norway/Q2982684/"	"Ministry of Norway"	"http://www.regjeringen.no/en/dep/fd.html?id=380"
""Office of the Prime Minister"	"https://www.govdirectory.org/norway/Q6516379/"	"Ministry of Norway"	"https://www.regjeringen.no/en/dep/smk/id875/"
""Ministry of Trade, Industry and Fisheries"	"https://www.govdirectory.org/norway/Q18177740/"	"Ministry of Norway"	"https://www.regjeringen.no/no/dep/nfd/id709/"
""Ministry of Digitalization and Administration"	"https://www.govdirectory.org/norway/Q123062166/"	"Ministry of Norway"	"https://www.regjeringen.no/no/dep/dfd/id810/"
""Oslo District Court"	"https://www.govdirectory.org/norway/Q7107019/"	"district court"	"https://www.domstol.no/oslo"
""Sogn og Fjordane District Court"	"https://www.govdirectory.org/norway/Q28648068/"	"district court"	"https://www.domstol.no/no/domstoler/tingrett/sogn-og-fjordane-tingrett/"
""Vestfold District Court"	"https://www.govdirectory.org/norway/Q56406968/"	"district court"	"https://www.domstol.no/vestfold"
""Søndre Østfold District Court"	"https://www.govdirectory.org/norway/Q105086362/"	"district court"	"https://www.domstol.no/no/domstoler/tingrett/sondre-ostfold-tingrett/"
""Follo og Nordre Østfold District Court"	"https://www.govdirectory.org/norway/Q105086752/"	"district court"	"https://www.domstol.no/enkelt-domstol/follo-og-nordre-ostfold-tingrett/"
""Ringerike, Asker og Bærum District Court"	"https://www.govdirectory.org/norway/Q105086820/"	"district court"	"https://www.domstol.no/no/domstoler/tingrett/ringerike-asker-og-barum-tingrett/"
""Buskerud District Court"	"https://www.govdirectory.org/norway/Q105094569/"	"district court"	"https://www.domstol.no/enkelt-domstol/buskerud-tingrett/"
""Hordaland District Court"	"https://www.govdirectory.org/norway/Q105097857/"	"district court"	"https://www.domstol.no/enkelt-domstol/hordaland-tingrett/"
""Indre og Østre Finnmark District Court"	"https://www.govdirectory.org/norway/Q105098098/"	"district court"	"https://www.domstol.no/enkelt-domstol/indre-og-ostre-finnmark-tingrett/"
""Helgeland District Court"	"https://www.govdirectory.org/norway/Q105104484/"	"district court"	"https://www.domstol.no/enkelt-domstol/helgeland-tingrett/"
""Trøndelag District Court"	"https://www.govdirectory.org/norway/Q105112598/"	"district court"	"https://www.domstol.no/enkelt-domstol/trondelag-tingrett/"
""Romerike og Glåmdal District Court"	"https://www.govdirectory.org/norway/Q105394627/"	"district court"	"https://www.domstol.no/enkelt-domstol/romerike-og-glamdal-tingrett/"
""Østre Innlandet District Court"	"https://www.govdirectory.org/norway/Q105407105/"	"district court"	"https://www.domstol.no/enkelt-domstol/ostre-innlandet-tingrett/"
""Vestre Innlandet District Court"	"https://www.govdirectory.org/norway/Q105440173/"	"district court"	"https://www.domstol.no/enkelt-domstol/vestre-innlandet--tingrett/"
""Agder District Court"	"https://www.govdirectory.org/norway/Q105440448/"	"district court"	"https://www.domstol.no/enkelt-domstol/agder-tingrett/"
""Telemark District Court"	"https://www.govdirectory.org/norway/Q105540593/"	"district court"	"https://www.domstol.no/enkelt-domstol/telemark-tingrett/"
""Møre og Romsdal District Court"	"https://www.govdirectory.org/norway/Q105554543/"	"district court"	"https://www.domstol.no/enkelt-domstol/more-og-romsdal/"
""Vestre Finnmark District Court"	"https://www.govdirectory.org/norway/Q105582893/"	"district court"	"https://www.domstol.no/enkelt-domstol/vestre-finnmark-tingrett/"
""Sør-Rogaland District Court"	"https://www.govdirectory.org/norway/Q105582988/"	"district court"	"https://www.domstol.no/no/domstoler/tingrett/sor-rogaland-tingrett/"
""Haugaland og Sunnhordland District Court"	"https://www.govdirectory.org/norway/Q105583085/"	"district court"	"https://www.domstol.no/enkelt-domstol/haugaland-og-sunnhordland-tingrett/"
""Nord-Troms og Senja District Court"	"https://www.govdirectory.org/norway/Q105585425/"	"district court"	"https://www.domstol.no/enkelt-domstol/nord-troms-og-senja-tingrett/"
""Salten og Lofoten District Court"	"https://www.govdirectory.org/norway/Q105644365/"	"district court"	"https://www.domstol.no/enkelt-domstol/salten-og-lofoten-tingrett/"
""Midtre Hålogaland tingrett"	"https://www.govdirectory.org/norway/Q105644405/"	"district court"	"https://www.domstol.no/enkelt-domstol/midtre-halogaland-tingrett/"
""Embassy of Norway, Kyiv"	"https://www.govdirectory.org/norway/Q2511037/"	"embassy"	"https://www.norway.no/en/ukraine/"
""Embassy of Norway, Paris"	"https://www.govdirectory.org/norway/Q2841823/"	"embassy"	"https://www.norway.no/fr/france/"
""Norwegian embassy in Stockholm"	"https://www.govdirectory.org/norway/Q2841829/"	"embassy"	"https://www.norway.no/no/sweden/"
""Embassy of Norway, Moscow"	"https://www.govdirectory.org/norway/Q3433356/"	"embassy"	"https://www.norway.no/ru/russia/"
""Embassy of Norway, Washington, D.C."	"https://www.govdirectory.org/norway/Q5369813/"	"embassy"	"https://www.norway.no/en/usa/"
""Embassy of Norway, Warsaw"	"https://www.govdirectory.org/norway/Q11685574/"	"embassy"	"https://www.norway.no/poland/"
""Embassy of Norway, Beijing"	"https://www.govdirectory.org/norway/Q11992092/"	"embassy"	"https://www.norway.no/china/"
""Embassy of Norway, Rome"	"https://www.govdirectory.org/norway/Q14089919/"	"embassy"	"https://www.norway.no/it/italy/"
""Embassy of Norway in Helsinki"	"https://www.govdirectory.org/norway/Q15233677/"	"embassy"	"https://www.norway.no/finland"
""Embassy of Norway in South Sudan"	"https://www.govdirectory.org/norway/Q16083419/"	"embassy"	"https://www.norway.no/en/south-sudan/"
""Embassy of Norway, London"	"https://www.govdirectory.org/norway/Q16891033/"	"embassy"	"https://www.norway.no/uk/"
""Embassy of Norway, Tallinn"	"https://www.govdirectory.org/norway/Q17634309/"	"embassy"	""
""Embassy of Norway, Bangkok"	"https://www.govdirectory.org/norway/Q18647714/"	"embassy"	"https://www.norway.no/en/thailand"
""Embassy of Norway, Beirut"	"https://www.govdirectory.org/norway/Q18647716/"	"embassy"	"https://www.norway.no/en/lebanon"
""Embassy of Norway, Addis Ababa"	"https://www.govdirectory.org/norway/Q19383546/"	"embassy"	"https://www.norway.no/en/ethiopia"
""Embassy of Norway, Algiers"	"https://www.govdirectory.org/norway/Q19383547/"	"embassy"	"https://www.norway.no/fr/algeria/"
""Embassy of Norway, Abuja"	"https://www.govdirectory.org/norway/Q19383544/"	"embassy"	"https://www.norway.no/nigeria"
""Embassy of Norway, Accra"	"https://www.govdirectory.org/norway/Q19383545/"	"embassy"	"https://www.norway.no/en/ghana/"
""Embassy of Norway, Athens"	"https://www.govdirectory.org/norway/Q19383550/"	"embassy"	""
""Embassy of Norway, Ankara"	"https://www.govdirectory.org/norway/Q19383548/"	"embassy"	"https://www.norway.no/en/turkiye/"
""Embassy of Norway, Berlin"	"https://www.govdirectory.org/norway/Q19383554/"	"embassy"	"https://www.norway.no/de/germany/"
""Embassy of Norway, Bern"	"https://www.govdirectory.org/norway/Q19383555/"	"embassy"	"https://www.norway.no/de/switzerland"
""Embassy of Norway, Belgrade"	"https://www.govdirectory.org/norway/Q19383553/"	"embassy"	"https://www.norway.no/serbia/"
""Embassy of Norway, Brussels"	"https://www.govdirectory.org/norway/Q19383559/"	"embassy"	"https://www.norway.no/en/belgium"
""embassy of Norway in Brazil"	"https://www.govdirectory.org/norway/Q19383557/"	"embassy"	"https://www.norway.no/pt/brasil/"
""Embassy of Norway, Buenos Aires"	"https://www.govdirectory.org/norway/Q19383562/"	"embassy"	"https://www.norway.no/es/argentina"
""Embassy of Norway, Canberra"	"https://www.govdirectory.org/norway/Q19383563/"	"embassy"	"https://www.norway.no/en/australia/"
""Embassy of Norway, Bucharest"	"https://www.govdirectory.org/norway/Q19383560/"	"embassy"	"https://www.norway.no/en/romania/"
""Embassy of Norway, Budapest"	"https://www.govdirectory.org/norway/Q19383561/"	"embassy"	"https://www.norway.no/hungary/"
""Embassy of Norway, Dhaka"	"https://www.govdirectory.org/norway/Q19383566/"	"embassy"	"https://www.norway.no/en/bangladesh"
""Embassy of Norway, Dar es Salaam"	"https://www.govdirectory.org/norway/Q19383565/"	"embassy"	"https://www.norway.no/tanzania"
""Embassy of Norway, Hanoi"	"https://www.govdirectory.org/norway/Q19383570/"	"embassy"	"https://www.norway.no/en/vietnam/"
""Embassy of Norway, Havana"	"https://www.govdirectory.org/norway/Q19383571/"	"embassy"	"https://www.norway.no/es/cuba/"
""Embassy of Norway, The Hague"	"https://www.govdirectory.org/norway/Q19383568/"	"embassy"	"https://www.norway.no/en/netherlands"
""Embassy of Norway, Kampala"	"https://www.govdirectory.org/norway/Q19383574/"	"embassy"	"https://www.norway.no/en/uganda"
""Embassy of Norway, Kathmandu"	"https://www.govdirectory.org/norway/Q19383575/"	"embassy"	"https://www.norway.no/nepal/"
""Embassy of Norway, Kabul"	"https://www.govdirectory.org/norway/Q19383572/"	"embassy"	"https://www.norway.no/afghanistan"
""Embassy of Norway, Cairo"	"https://www.govdirectory.org/norway/Q19383573/"	"embassy"	"https://www.norway.no/en/egypt/"
""Embassy of Norway, Khartoum"	"https://www.govdirectory.org/norway/Q19383576/"	"embassy"	"https://www.norway.no/en/sudan"
""Embassy of Norway, Kuala Lumpur"	"https://www.govdirectory.org/norway/Q19383577/"	"embassy"	"https://www.norway.no/en/malaysia"
""Embassy of Norway, Luanda"	"https://www.govdirectory.org/norway/Q19383583/"	"embassy"	"https://norway.no/en/angola"
""Embassy of Norway, Copenhagen"	"https://www.govdirectory.org/norway/Q19383580/"	"embassy"	"https://www.norway.no/denmark"
""Embassy of Norway, Lisbon"	"https://www.govdirectory.org/norway/Q19383581/"	"embassy"	"https://www.norway.no/pt/portugal"
""Embassy of Norway, Maputo"	"https://www.govdirectory.org/norway/Q19383586/"	"embassy"	""
""Embassy of Norway, Mexico City"	"https://www.govdirectory.org/norway/Q19383587/"	"embassy"	"https://www.norway.no/es/mexico/"
""Embassy of Norway, Madrid"	"https://www.govdirectory.org/norway/Q19383584/"	"embassy"	"https://www.norway.no/es/spain/"
""Embassy of Norway, Manila"	"https://www.govdirectory.org/norway/Q19383585/"	"embassy"	"https://www.norway.no/en/philippines/"
""Embassy of Norway, Nicosia"	"https://www.govdirectory.org/norway/Q19383590/"	"embassy"	""
""Embassy of Norway, Ottawa"	"https://www.govdirectory.org/norway/Q19383591/"	"embassy"	"https://www.norway.no/en/canada/"
""Embassy of Norway, Nairobi"	"https://www.govdirectory.org/norway/Q19383588/"	"embassy"	"https://www.norway.no/en/kenya/"
""Embassy of Norway, New Delhi"	"https://www.govdirectory.org/norway/Q19383589/"	"embassy"	"https://www.norway.no/en/india/"
""Embassy of Norway, Pretoria"	"https://www.govdirectory.org/norway/Q19383594/"	"embassy"	"https://www.norway.no/en/south-africa/"
""Embassy of Norway, Rabat"	"https://www.govdirectory.org/norway/Q19383595/"	"embassy"	"https://www.norway.no/morocco/"
""Embassy of Norway, Prague"	"https://www.govdirectory.org/norway/Q19383592/"	"embassy"	"https://www.norway.no/cs/Czech-Republic/"
""Embassy of Norway, Seoul"	"https://www.govdirectory.org/norway/Q19383598/"	"embassy"	"https://www.norway.no/south-korea/"
""Embassy of Norway, Singapore"	"https://www.govdirectory.org/norway/Q19383599/"	"embassy"	"https://www.norway.no/singapore"
