"Name"	"Govdirectory URL"	"Type"	"Website"
"Abancay Province"	"https://www.govdirectory.org/peru/Q1771870/"	"province of Peru"	"http://www.muniabanacy.gob.pe/"
""Acobamba Province"	"https://www.govdirectory.org/peru/Q1948039/"	"province of Peru"	"http://www.muniacobamba.gob.pe/"
""Acomayo Province"	"https://www.govdirectory.org/peru/Q1920602/"	"province of Peru"	""
""Aija Province"	"https://www.govdirectory.org/peru/Q615891/"	"province of Peru"	""
""Alto Amazonas Province"	"https://www.govdirectory.org/peru/Q1920572/"	"province of Peru"	""
""Ambo Province"	"https://www.govdirectory.org/peru/Q980098/"	"province of Peru"	""
""Andahuaylas Province"	"https://www.govdirectory.org/peru/Q1798747/"	"province of Peru"	"http://www.muniandahuaylas.gob.pe/"
""Angaraes Province"	"https://www.govdirectory.org/peru/Q2084862/"	"province of Peru"	""
""Anta Province"	"https://www.govdirectory.org/peru/Q1920482/"	"province of Peru"	""
""Antabamba Province"	"https://www.govdirectory.org/peru/Q1814228/"	"province of Peru"	""
""Antonio Raymondi Province"	"https://www.govdirectory.org/peru/Q1166121/"	"province of Peru"	""
""Arequipa Province"	"https://www.govdirectory.org/peru/Q601118/"	"province of Peru"	""
""Ascope Province"	"https://www.govdirectory.org/peru/Q927324/"	"province of Peru"	""
""Asunción Province"	"https://www.govdirectory.org/peru/Q1166116/"	"province of Peru"	""
""Atalaya Province"	"https://www.govdirectory.org/peru/Q1920509/"	"province of Peru"	"https://muniatalaya.gob.pe/"
""Ayabaca Province"	"https://www.govdirectory.org/peru/Q1367672/"	"province of Peru"	"http://www.muniayabaca.gob.pe/"
""Aymaraes Province"	"https://www.govdirectory.org/peru/Q1814234/"	"province of Peru"	""
""Azángaro Province"	"https://www.govdirectory.org/peru/Q2088824/"	"province of Peru"	"http://www.muniazangaro.gob.pe/"
""Bagua Province"	"https://www.govdirectory.org/peru/Q1366082/"	"province of Peru"	"http://www.munibagua.org/"
""Barranca Province"	"https://www.govdirectory.org/peru/Q1422596/"	"province of Peru"	"http://www.munibarranca.gob.pe/"
""Bellavista Province"	"https://www.govdirectory.org/peru/Q2084689/"	"province of Peru"	""
""Bolognesi Province"	"https://www.govdirectory.org/peru/Q1166113/"	"province of Peru"	"http://www.munibolognesi.gob.pe/"
""Bolívar Province"	"https://www.govdirectory.org/peru/Q951816/"	"province of Peru"	"http://www.munibolivar.gob.pe/"
""Bongará Province"	"https://www.govdirectory.org/peru/Q1342814/"	"province of Peru"	"http://www.munibongara.gob.pe/"
""Cajabamba Province"	"https://www.govdirectory.org/peru/Q751373/"	"province of Peru"	""
""Cajamarca Province"	"https://www.govdirectory.org/peru/Q1431135/"	"province of Peru"	""
""Cajatambo Province"	"https://www.govdirectory.org/peru/Q1422587/"	"province of Peru"	""
""Calca Province"	"https://www.govdirectory.org/peru/Q1948019/"	"province of Peru"	""
""Camaná Province"	"https://www.govdirectory.org/peru/Q1784851/"	"province of Peru"	""
""Canas Province"	"https://www.govdirectory.org/peru/Q1920500/"	"province of Peru"	""
""Canchis Province"	"https://www.govdirectory.org/peru/Q951287/"	"province of Peru"	""
""Candarave Province"	"https://www.govdirectory.org/peru/Q1944299/"	"province of Peru"	"http://www.municandarave.gob.pe/"
""Cangallo Province"	"https://www.govdirectory.org/peru/Q1814190/"	"province of Peru"	""
""Canta Province"	"https://www.govdirectory.org/peru/Q1422611/"	"province of Peru"	""
""Carabaya Province"	"https://www.govdirectory.org/peru/Q1944216/"	"province of Peru"	"http://www.municarabaya.gob.pe/"
""Caravelí Province"	"https://www.govdirectory.org/peru/Q1779727/"	"province of Peru"	""
""Carhuaz Province"	"https://www.govdirectory.org/peru/Q1166126/"	"province of Peru"	"http://www.municarhuaz.gob.pe/"
""Carlos Fermín Fitzcarrald Province"	"https://www.govdirectory.org/peru/Q633478/"	"province of Peru"	""
""Casma Province"	"https://www.govdirectory.org/peru/Q747503/"	"province of Peru"	""
""Castilla Province"	"https://www.govdirectory.org/peru/Q614628/"	"province of Peru"	"http://www.municipiocastilla.gob.pe/"
""Castrovirreyna Province"	"https://www.govdirectory.org/peru/Q1944312/"	"province of Peru"	""
""Caylloma Province"	"https://www.govdirectory.org/peru/Q1806435/"	"province of Peru"	"http://www.municaylloma.gob.pe/"
""Cañete Province"	"https://www.govdirectory.org/peru/Q1431156/"	"province of Peru"	"http://www.municanete.gob.pe/"
""Celendín Province"	"https://www.govdirectory.org/peru/Q1431153/"	"province of Peru"	""
""Chachapoyas Province"	"https://www.govdirectory.org/peru/Q997406/"	"province of Peru"	"http://www.munichachapoyas.gob.pe/"
""Chanchamayo Province"	"https://www.govdirectory.org/peru/Q765311/"	"province of Peru"	""
""Chepén Province"	"https://www.govdirectory.org/peru/Q1920599/"	"province of Peru"	"http://www.munichepen.gob.pe/"
""Chiclayo province"	"https://www.govdirectory.org/peru/Q546559/"	"province of Peru"	""
""Chincha Province"	"https://www.govdirectory.org/peru/Q1325771/"	"province of Peru"	""
""Chincheros Province"	"https://www.govdirectory.org/peru/Q578912/"	"province of Peru"	""
