"Name"	"Govdirectory URL"	"Type"	"Website"
"Azores"	"https://www.govdirectory.org/portugal/Q25263/"	"autonomous region of Portugal"	"http://www.azores.gov.pt/"
""Madeira"	"https://www.govdirectory.org/portugal/Q26253/"	"autonomous region of Portugal"	"https://www.madeira.gov.pt/"
""Lisbon"	"https://www.govdirectory.org/portugal/Q207199/"	"district of Portugal"	""
""Aveiro"	"https://www.govdirectory.org/portugal/Q210527/"	"district of Portugal"	"http://www.gov-civil-aveiro.pt/"
""Portalegre"	"https://www.govdirectory.org/portugal/Q225189/"	"district of Portugal"	"http://www.gov-civil-portalegre.pt/"
""Santarém"	"https://www.govdirectory.org/portugal/Q244510/"	"district of Portugal"	""
""Leiria"	"https://www.govdirectory.org/portugal/Q244512/"	"district of Portugal"	""
""Coimbra"	"https://www.govdirectory.org/portugal/Q244517/"	"district of Portugal"	""
""Faro"	"https://www.govdirectory.org/portugal/Q244521/"	"district of Portugal"	"http://www.gov-civil-faro.pt/"
""Viseu"	"https://www.govdirectory.org/portugal/Q273525/"	"district of Portugal"	""
""Castelo Branco"	"https://www.govdirectory.org/portugal/Q273529/"	"district of Portugal"	"http://www.gov-civil-castelobranco.pt/"
""Guarda"	"https://www.govdirectory.org/portugal/Q273533/"	"district of Portugal"	"http://www.gov-civ-guarda.pt/"
""Setúbal"	"https://www.govdirectory.org/portugal/Q274109/"	"district of Portugal"	""
""Évora"	"https://www.govdirectory.org/portugal/Q274118/"	"district of Portugal"	"http://www.gov-civil-evora.gov.pt/"
""Beja"	"https://www.govdirectory.org/portugal/Q321455/"	"district of Portugal"	"http://www.gov-civil-beja.pt/"
""Porto"	"https://www.govdirectory.org/portugal/Q322792/"	"district of Portugal"	"http://www.govcivilporto.gov.pt/"
""Braga"	"https://www.govdirectory.org/portugal/Q326203/"	"district of Portugal"	""
""Viana do Castelo"	"https://www.govdirectory.org/portugal/Q326214/"	"district of Portugal"	"http://www.gov-civil-viana.pt/"
""Bragança"	"https://www.govdirectory.org/portugal/Q373528/"	"district of Portugal"	"http://www.gov-civil-braganca.pt/"
""Vila Real"	"https://www.govdirectory.org/portugal/Q379372/"	"district of Portugal"	""
""Ministry of Foreign Affairs of Portugal"	"https://www.govdirectory.org/portugal/Q1283287/"	"ministry of Portugal"	"https://portaldiplomatico.mne.gov.pt/"
""Ministry of Education of Portugal"	"https://www.govdirectory.org/portugal/Q3302210/"	"ministry of Portugal"	"http://www.min-edu.pt/"
""Ministry of the Internal Administration"	"https://www.govdirectory.org/portugal/Q4294291/"	"ministry of Portugal"	"https://www.portugal.gov.pt/en/gc21/ministries/internal-administration"
""Ministry of Health of Portugal"	"https://www.govdirectory.org/portugal/Q4294357/"	"ministry of Portugal"	"https://www.sns.gov.pt/institucional/ministerio-da-saude/"
""Ministry of Culture of Portugal"	"https://www.govdirectory.org/portugal/Q4294438/"	"ministry of Portugal"	"http://www.portugal.gov.pt/pt/ministerios/mc.aspx"
""Ministry of National Defense of Portugal"	"https://www.govdirectory.org/portugal/Q4294480/"	"ministry of Portugal"	""
""Ministry of Agriculture, Rural Development and Fisheries"	"https://www.govdirectory.org/portugal/Q4294674/"	"ministry of Portugal"	"http://www.min-agricultura.pt/"
""Ministry of Finance of Portugal"	"https://www.govdirectory.org/portugal/Q4294790/"	"ministry of Portugal"	"http://www.min-financas.pt/"
""Ministry of Justice"	"https://www.govdirectory.org/portugal/Q4294868/"	"ministry of Portugal"	"http://www.portugal.gov.pt/pt/ministerios/mj.aspx"
""Ministério da Solidariedade e da Segurança Social"	"https://www.govdirectory.org/portugal/Q10330396/"	"ministry of Portugal"	""
""Presidency of the Council of Ministers (Portugal)"	"https://www.govdirectory.org/portugal/Q10353665/"	"ministry of Portugal"	""
""Ministry of Labour, Solidarity and Social Protection of Portugal"	"https://www.govdirectory.org/portugal/Q25422181/"	"ministry of Portugal"	"https://www.portugal.gov.pt/pt/gc21/area-de-governo/trabalho-solidariedade-e-seguranca-social"
""Ministry of the Environment and Climate Action"	"https://www.govdirectory.org/portugal/Q86734105/"	"ministry of Portugal"	""
""Ministry of Infrastructure and Housing"	"https://www.govdirectory.org/portugal/Q86734622/"	"ministry of Portugal"	""
""Ministry of Territorial Cohesion"	"https://www.govdirectory.org/portugal/Q104830203/"	"ministry of Portugal"	""
""Ministério da Economia e do Mar"	"https://www.govdirectory.org/portugal/Q123263116/"	"ministry of Portugal"	""
""Ministério da Juventude e Modernização"	"https://www.govdirectory.org/portugal/Q125578479/"	"ministry of Portugal"	""
""Praia da Vitória"	"https://www.govdirectory.org/portugal/Q73046/"	"municipality of Portugal"	"http://www.cmpv.pt/"
""Seia"	"https://www.govdirectory.org/portugal/Q76017/"	"municipality of Portugal"	"http://www.cm-seia.pt/"
""Torres Novas"	"https://www.govdirectory.org/portugal/Q81139/"	"municipality of Portugal"	"http://www.cm-torresnovas.pt/"
