"Name"	"Govdirectory URL"	"Type"	"Website"
"Ministry for Development of the Russian Far East and Arctic"	"https://www.govdirectory.org/russia/Q4294276/"	"federal ministry in Russia"	"https://minvr.gov.ru/"
""Ministry of Agriculture"	"https://www.govdirectory.org/russia/Q4294685/"	"federal ministry in Russia"	"https://mcx.gov.ru/"
""Ministry of Construction Industry, Housing and Utilities Sector"	"https://www.govdirectory.org/russia/Q15125193/"	"federal ministry in Russia"	"https://minstroyrf.gov.ru/"
""Ministry of Culture of Russia"	"https://www.govdirectory.org/russia/Q2465416/"	"federal ministry in Russia"	"https://culture.gov.ru/"
""Ministry of Defense of the Russian Federation"	"https://www.govdirectory.org/russia/Q1146492/"	"federal ministry in Russia"	"http://ar.mil.ru/"
""Ministry of Digital Development, Communications and Mass Media of the Russian Federation"	"https://www.govdirectory.org/russia/Q4294667/"	"federal ministry in Russia"	"https://digital.gov.ru/"
""Ministry of Economic Development of Russian Federation"	"https://www.govdirectory.org/russia/Q8631276/"	"federal ministry in Russia"	"https://economy.gov.ru/"
""Ministry of Education of the Russian Federation"	"https://www.govdirectory.org/russia/Q53738184/"	"federal ministry in Russia"	"https://edu.gov.ru/"
""Ministry of Emergency Situations of Russia"	"https://www.govdirectory.org/russia/Q2624171/"	"federal ministry in Russia"	"https://www.mchs.gov.ru/"
""Ministry of Energy of the Russian Federation"	"https://www.govdirectory.org/russia/Q2659854/"	"federal ministry in Russia"	"https://minenergo.gov.ru/"
""Ministry of Finance of Russian Federation"	"https://www.govdirectory.org/russia/Q1958033/"	"federal ministry in Russia"	"https://minfin.gov.ru/"
""Ministry of Foreign Affairs of the Russian Federation"	"https://www.govdirectory.org/russia/Q789889/"	"federal ministry in Russia"	"https://mid.ru/"
""Ministry of Healthcare of the Russian Federation"	"https://www.govdirectory.org/russia/Q2624248/"	"federal ministry in Russia"	"https://minzdrav.gov.ru/"
""Ministry of Industry and Trade"	"https://www.govdirectory.org/russia/Q2028312/"	"federal ministry in Russia"	"https://minpromtorg.gov.ru/"
""Ministry of Internal Affairs of the Russian Federation"	"https://www.govdirectory.org/russia/Q1192838/"	"federal ministry in Russia"	"https://xn--b1aew.xn--p1ai/"
""Ministry of Justice of the Russian Federation"	"https://www.govdirectory.org/russia/Q264356/"	"federal ministry in Russia"	"https://minjust.gov.ru/"
""Ministry of Labour and Social Protection of the Russian Federation"	"https://www.govdirectory.org/russia/Q4294762/"	"federal ministry in Russia"	"https://mintrud.gov.ru/"
""Ministry of Natural Resources and Environment"	"https://www.govdirectory.org/russia/Q1961567/"	"federal ministry in Russia"	"http://www.mnr.gov.ru/"
""Ministry of Science and Higher Education"	"https://www.govdirectory.org/russia/Q53579434/"	"federal ministry in Russia"	"https://minobrnauki.gov.ru/"
""Ministry of Transport of the Russian Federation"	"https://www.govdirectory.org/russia/Q1958537/"	"federal ministry in Russia"	"https://www.mintrans.gov.ru/"
""Russian Federation Ministry of Sport"	"https://www.govdirectory.org/russia/Q2895997/"	"federal ministry in Russia"	"https://minsport.gov.ru/"
""Government of the Republic of Dagestan"	"https://www.govdirectory.org/russia/Q60851780/"	"government"	""
"
