"Name"	"Govdirectory URL"	"Type"	"Website"
"Swedish National Courts Administration"	"https://www.govdirectory.org/sweden/Q10475844/"	"courts administration agency"	"https://www.domstol.se/domstolsverket/"
""Seventh AP Fund"	"https://www.govdirectory.org/sweden/Q10669278/"	"AP pension fund"	"https://www.ap7.se/"
""First AP Fund"	"https://www.govdirectory.org/sweden/Q33075406/"	"AP pension fund"	"http://www.ap1.se/"
""Andra AP-fonden"	"https://www.govdirectory.org/sweden/Q33075484/"	"AP pension fund"	"http://www.ap2.se/"
""Tredje AP-fonden"	"https://www.govdirectory.org/sweden/Q33075523/"	"AP pension fund"	"https://www.ap3.se/"
""Fjärde AP-fonden"	"https://www.govdirectory.org/sweden/Q33075625/"	"AP pension fund"	"https://www.ap4.se/"
""Sjätte AP-fonden"	"https://www.govdirectory.org/sweden/Q33075659/"	"AP pension fund"	"https://www.ap6.se/"
""Consulate General of Sweden in Saint Petersburg"	"https://www.govdirectory.org/sweden/Q29042839/"	"Consulate General of Sweden"	""
""Consulate General of Sweden in Istanbul"	"https://www.govdirectory.org/sweden/Q64868083/"	"Consulate General of Sweden"	"https://www.swedenabroad.se/en/embassies/turkey-istanbul/"
""General Consulate of Sweden Jerusalem"	"https://www.govdirectory.org/sweden/Q99228758/"	"Consulate General of Sweden"	"https://www.swedenabroad.se/en/embassies/jerusalem/"
""Consulate General of Sweden in Brussels"	"https://www.govdirectory.org/sweden/Q101070007/"	"Consulate General of Sweden"	"https://www.swedenabroad.se/sv/utlandsmyndigheter/belgien-bryssel/"
""General Consulate of Sweden Mariehamn"	"https://www.govdirectory.org/sweden/Q108058370/"	"Consulate General of Sweden"	"https://www.swedenabroad.se/sv/utlandsmyndigheter/aland-mariehamn/"
""General Consulate of Sweden Mumbai"	"https://www.govdirectory.org/sweden/Q108058371/"	"Consulate General of Sweden"	""
""General Consulate of Sweden Shanghai"	"https://www.govdirectory.org/sweden/Q108058375/"	"Consulate General of Sweden"	"https://www.swedenabroad.se/en/embassies/china-shanghai/"
""Consulate General of Sweden, Hong Kong"	"https://www.govdirectory.org/sweden/Q18747057/"	"Consulate General of Sweden"	"https://www.swedenabroad.se/en/embassies/hong-kong/"
""Consulate General of Sweden in New York City"	"https://www.govdirectory.org/sweden/Q19978223/"	"Consulate General of Sweden"	"https://www.swedenabroad.se/en/embassies/usa-new-york/"
""Migrationsdomstolen i Luleå"	"https://www.govdirectory.org/sweden/Q97143442/"	"Migration Court"	"https://www.domstol.se/migrationsdomstolen-vid-forvaltningsratten-i-lulea/"
""Migrationsdomstolen i Malmö"	"https://www.govdirectory.org/sweden/Q97143443/"	"Migration Court"	"https://www.domstol.se/migrationsdomstolen-vid-forvaltningsratten-i-malmo/"
