"Name"	"Govdirectory URL"	"Type"	"Website"
"Federal Department of Defence, Civil Protection and Sports"	"https://www.govdirectory.org/switzerland/Q667135/"	"federal department of Switzerland"	"https://www.vbs.admin.ch/"
""Federal Department of Economic Affairs, Education and Research"	"https://www.govdirectory.org/switzerland/Q662528/"	"federal department of Switzerland"	"https://www.wbf.admin.ch/"
""Federal Department of Environment, Transport, Energy and Communications"	"https://www.govdirectory.org/switzerland/Q678661/"	"federal department of Switzerland"	"https://www.uvek.admin.ch/"
""Federal Department of Finance"	"https://www.govdirectory.org/switzerland/Q662317/"	"federal department of Switzerland"	"https://www.efd.admin.ch/"
""Federal Department of Foreign Affairs"	"https://www.govdirectory.org/switzerland/Q675983/"	"federal department of Switzerland"	"https://www.eda.admin.ch/"
""Federal Department of Home Affairs"	"https://www.govdirectory.org/switzerland/Q688584/"	"federal department of Switzerland"	"https://www.edi.admin.ch/edi/fr/home.html"
""Federal Department of Justice and Police"	"https://www.govdirectory.org/switzerland/Q678586/"	"federal department of Switzerland"	"http://www.ejpd.admin.ch/ejpd/en/home.html"
""Aadorf"	"https://www.govdirectory.org/switzerland/Q69131/"	"municipality of Switzerland"	"https://www.aadorf.ch/"
""Aarau"	"https://www.govdirectory.org/switzerland/Q14274/"	"municipality of Switzerland"	"https://www.aarau.ch/"
""Aarberg"	"https://www.govdirectory.org/switzerland/Q64113/"	"municipality of Switzerland"	"https://www.aarberg.ch/"
""Aarburg"	"https://www.govdirectory.org/switzerland/Q64165/"	"municipality of Switzerland"	"https://www.aarburg.ch/"
""Aarwangen"	"https://www.govdirectory.org/switzerland/Q69222/"	"municipality of Switzerland"	"https://www.aarwangen.ch/"
""Abtwil"	"https://www.govdirectory.org/switzerland/Q69219/"	"municipality of Switzerland"	"http://www.abtwilag.ch/"
""Aclens"	"https://www.govdirectory.org/switzerland/Q30986/"	"municipality of Switzerland"	"http://www.aclens.ch/"
""Acquarossa"	"https://www.govdirectory.org/switzerland/Q68358/"	"municipality of Switzerland"	"http://www.acquarossa.ch/"
""Adelboden"	"https://www.govdirectory.org/switzerland/Q68994/"	"municipality of Switzerland"	"https://www.3715.ch/"
""Adligenswil"	"https://www.govdirectory.org/switzerland/Q14563/"	"municipality of Switzerland"	"https://www.adligenswil.ch/"
""Adliswil"	"https://www.govdirectory.org/switzerland/Q68210/"	"municipality of Switzerland"	"https://www.adliswil.ch/"
""Aedermannsdorf"	"https://www.govdirectory.org/switzerland/Q68384/"	"municipality of Switzerland"	"http://www.aedermannsdorf.ch/"
""Aefligen"	"https://www.govdirectory.org/switzerland/Q68376/"	"municipality of Switzerland"	"https://www.aefligen.ch/"
""Aegerten"	"https://www.govdirectory.org/switzerland/Q69389/"	"municipality of Switzerland"	"https://www.aegerten.ch/"
""Aesch"	"https://www.govdirectory.org/switzerland/Q68342/"	"municipality of Switzerland"	"https://www.aesch-zh.ch/"
""Aesch"	"https://www.govdirectory.org/switzerland/Q68367/"	"municipality of Switzerland"	"https://www.aesch.bl.ch/"
""Aesch"	"https://www.govdirectory.org/switzerland/Q7120/"	"municipality of Switzerland"	"https://www.aesch-lu.ch/"
""Aeschi"	"https://www.govdirectory.org/switzerland/Q68324/"	"municipality of Switzerland"	"http://www.aeschi-so.ch/"
""Aeschi bei Spiez"	"https://www.govdirectory.org/switzerland/Q68327/"	"municipality of Switzerland"	"https://www.aeschi.ch/"
""Aeugst am Albis"	"https://www.govdirectory.org/switzerland/Q64945/"	"municipality of Switzerland"	"http://www.aeugst-albis.ch/"
""Affeltrangen"	"https://www.govdirectory.org/switzerland/Q65800/"	"municipality of Switzerland"	"http://www.affeltrangen.ch/"
