"Name"	"Govdirectory URL"	"Type"	"Website"
"Attorney General's Office"	"https://www.govdirectory.org/united-kingdom/Q2928396/"	"department of the United Kingdom Government"	"http://www.gov.uk/ago"
""Cabinet Office"	"https://www.govdirectory.org/united-kingdom/Q5995/"	"department of the United Kingdom Government"	"https://www.gov.uk/government/organisations/cabinet-office"
""Department for Business and Trade"	"https://www.govdirectory.org/united-kingdom/Q116726347/"	"department of the United Kingdom Government"	"https://www.gov.uk/government/organisations/department-for-business-and-trade"
""Department for Culture, Media and Sport"	"https://www.govdirectory.org/united-kingdom/Q910019/"	"department of the United Kingdom Government"	"https://www.gov.uk/dcms"
""Department for Education"	"https://www.govdirectory.org/united-kingdom/Q2612019/"	"department of the United Kingdom Government"	"https://www.gov.uk/government/organisations/department-for-education"
""Department for Energy Security and Net Zero"	"https://www.govdirectory.org/united-kingdom/Q116825523/"	"department of the United Kingdom Government"	"https://www.gov.uk/government/organisations/department-for-energy-security-and-net-zero"
""Department for Environment, Food and Rural Affairs"	"https://www.govdirectory.org/united-kingdom/Q3044721/"	"department of the United Kingdom Government"	"http://www.gov.uk/defra"
""Department for Science, Innovation and Technology"	"https://www.govdirectory.org/united-kingdom/Q116719150/"	"department of the United Kingdom Government"	"https://www.gov.uk/government/organisations/department-for-science-innovation-and-technology"
""Department for Transport"	"https://www.govdirectory.org/united-kingdom/Q2982287/"	"department of the United Kingdom Government"	"https://www.gov.uk/dft"
""Department for Work and Pensions"	"https://www.govdirectory.org/united-kingdom/Q1191394/"	"department of the United Kingdom Government"	"https://www.gov.uk/government/organisations/department-for-work-pensions"
""Department of Health and Social Care"	"https://www.govdirectory.org/united-kingdom/Q3044742/"	"department of the United Kingdom Government"	"https://www.gov.uk/government/organisations/department-of-health-and-social-care"
""Foreign, Commonwealth and Development Office"	"https://www.govdirectory.org/united-kingdom/Q358834/"	"department of the United Kingdom Government"	"https://www.gov.uk/government/organisations/foreign-commonwealth-development-office"
""HM Treasury"	"https://www.govdirectory.org/united-kingdom/Q578269/"	"department of the United Kingdom Government"	"https://gov.uk/hm-treasury"
""Home Office"	"https://www.govdirectory.org/united-kingdom/Q763388/"	"department of the United Kingdom Government"	"https://www.gov.uk/home-office"
""Ministry of Defence of the United Kingdom"	"https://www.govdirectory.org/united-kingdom/Q1143261/"	"department of the United Kingdom Government"	"https://gov.uk/mod"
""Ministry of Housing, Communities, and Local Government"	"https://www.govdirectory.org/united-kingdom/Q601819/"	"department of the United Kingdom Government"	"https://www.gov.uk/government/organisations/ministry-of-housing-communities-local-government"
""Ministry of Justice"	"https://www.govdirectory.org/united-kingdom/Q2983190/"	"department of the United Kingdom Government"	"https://www.gov.uk/government/organisations/ministry-of-justice"
""Northern Ireland Office"	"https://www.govdirectory.org/united-kingdom/Q218886/"	"department of the United Kingdom Government"	"https://www.gov.uk/government/organisations/northern-ireland-office"
""Office of the Advocate General for Scotland"	"https://www.govdirectory.org/united-kingdom/Q16010864/"	"department of the United Kingdom Government"	"https://www.gov.uk/government/organisations/office-of-the-advocate-general-for-scotland"
""Office of the Leader of the House of Commons"	"https://www.govdirectory.org/united-kingdom/Q7079377/"	"department of the United Kingdom Government"	"https://www.gov.uk/government/organisations/the-office-of-the-leader-of-the-house-of-commons"
""Office of the Leader of the House of Lords"	"https://www.govdirectory.org/united-kingdom/Q17101024/"	"department of the United Kingdom Government"	"https://gov.uk/leader-lords"
""Scotland Office"	"https://www.govdirectory.org/united-kingdom/Q277020/"	"department of the United Kingdom Government"	"https://www.gov.uk/government/organisations/scotland-office"
""UK Export Finance"	"https://www.govdirectory.org/united-kingdom/Q4158541/"	"department of the United Kingdom Government"	"https://www.gov.uk/government/organisations/uk-export-finance"
""Wales Office"	"https://www.govdirectory.org/united-kingdom/Q281113/"	"department of the United Kingdom Government"	"https://www.gov.uk/government/organisations/wales-office"
"
