title,url,image_url
Agriculture & Cooperation,https://igod.gov.in/sector/GRNsIHQBsvhI6u6Q3tju/organizations,https://igod.gov.in/assets/images/GRNsIHQBsvhI6u6Q3tju.png
Animal Husbandry & Fishing,https://igod.gov.in/sector/_RNsIHQBsvhI6u6Q3tfu/organizations,https://igod.gov.in/assets/images/_RNsIHQBsvhI6u6Q3tfu.png
Art & Culture,https://igod.gov.in/sector/DxNsIHQBsvhI6u6Q3tju/organizations,https://igod.gov.in/assets/images/DxNsIHQBsvhI6u6Q3tju.png
Chemicals & Fertilizers,https://igod.gov.in/sector/AhNsIHQBsvhI6u6Q3tju/organizations,https://igod.gov.in/assets/images/AhNsIHQBsvhI6u6Q3tju.png
Coal & Mine,https://igod.gov.in/sector/ABNsIHQBsvhI6u6Q3tju/organizations,https://igod.gov.in/assets/images/ABNsIHQBsvhI6u6Q3tju.png
Commerce & Industry,https://igod.gov.in/sector/BBNsIHQBsvhI6u6Q3tju/organizations,https://igod.gov.in/assets/images/BBNsIHQBsvhI6u6Q3tju.png
Communications & Information Technology,https://igod.gov.in/sector/ERNsIHQBsvhI6u6Q3tju/organizations,https://igod.gov.in/assets/images/ERNsIHQBsvhI6u6Q3tju.png
Defence,https://igod.gov.in/sector/GhNsIHQBsvhI6u6Q3tju/organizations,https://igod.gov.in/assets/images/GhNsIHQBsvhI6u6Q3tju.png
Education & Training,https://igod.gov.in/sector/BRNsIHQBsvhI6u6Q3tju/organizations,https://igod.gov.in/assets/images/BRNsIHQBsvhI6u6Q3tju.png
Employment & Labour,https://igod.gov.in/sector/BxNsIHQBsvhI6u6Q3tju/organizations,https://igod.gov.in/assets/images/BxNsIHQBsvhI6u6Q3tju.png
Energy & Power,https://igod.gov.in/sector/ARNsIHQBsvhI6u6Q3tju/organizations,https://igod.gov.in/assets/images/ARNsIHQBsvhI6u6Q3tju.png
Environment & Natural Resources,https://igod.gov.in/sector/_xNsIHQBsvhI6u6Q3tfu/organizations,https://igod.gov.in/assets/images/_xNsIHQBsvhI6u6Q3tfu.png
"Finance, Banking & Insurance",https://igod.gov.in/sector/CBNsIHQBsvhI6u6Q3tju/organizations,https://igod.gov.in/assets/images/CBNsIHQBsvhI6u6Q3tju.png
Food & Public Distribution,https://igod.gov.in/sector/ChNsIHQBsvhI6u6Q3tju/organizations,https://igod.gov.in/assets/images/ChNsIHQBsvhI6u6Q3tju.png
Forestry & Wildlife,https://igod.gov.in/sector/_hNsIHQBsvhI6u6Q3tfu/organizations,https://igod.gov.in/assets/images/_hNsIHQBsvhI6u6Q3tfu.png
Governance & Administration,https://igod.gov.in/sector/FRNsIHQBsvhI6u6Q3tju/organizations,https://igod.gov.in/assets/images/FRNsIHQBsvhI6u6Q3tju.png
Health & Family welfare,https://igod.gov.in/sector/CxNsIHQBsvhI6u6Q3tju/organizations,https://igod.gov.in/assets/images/CxNsIHQBsvhI6u6Q3tju.png
Home affairs & National Security,https://igod.gov.in/sector/FBNsIHQBsvhI6u6Q3tju/organizations,https://igod.gov.in/assets/images/FBNsIHQBsvhI6u6Q3tju.png
Housing & Urban Development,https://igod.gov.in/sector/DBNsIHQBsvhI6u6Q3tju/organizations,https://igod.gov.in/assets/images/DBNsIHQBsvhI6u6Q3tju.png
Information & Broadcasting,https://igod.gov.in/sector/EBNsIHQBsvhI6u6Q3tju/organizations,https://igod.gov.in/assets/images/EBNsIHQBsvhI6u6Q3tju.png
International Affairs,https://igod.gov.in/sector/FxNsIHQBsvhI6u6Q3tju/organizations,https://igod.gov.in/assets/images/FxNsIHQBsvhI6u6Q3tju.png
Law & Justice,https://igod.gov.in/sector/ExNsIHQBsvhI6u6Q3tju/organizations,https://igod.gov.in/assets/images/ExNsIHQBsvhI6u6Q3tju.png
People & Organisations,https://igod.gov.in/sector/FhNsIHQBsvhI6u6Q3tju/organizations,https://igod.gov.in/assets/images/FhNsIHQBsvhI6u6Q3tju.png
"Petroleum, Oil & Natural Gas",https://igod.gov.in/sector/AxNsIHQBsvhI6u6Q3tju/organizations,https://igod.gov.in/assets/images/AxNsIHQBsvhI6u6Q3tju.png
Rural Development & Panchayati Raj,https://igod.gov.in/sector/DRNsIHQBsvhI6u6Q3tju/organizations,https://igod.gov.in/assets/images/DRNsIHQBsvhI6u6Q3tju.png
"Science, Technology & Research",https://igod.gov.in/sector/EhNsIHQBsvhI6u6Q3tju/organizations,https://igod.gov.in/assets/images/EhNsIHQBsvhI6u6Q3tju.png
Social Justice & Empowerment,https://igod.gov.in/sector/GBNsIHQBsvhI6u6Q3tju/organizations,https://igod.gov.in/assets/images/GBNsIHQBsvhI6u6Q3tju.png
Tourism,https://igod.gov.in/sector/DhNsIHQBsvhI6u6Q3tju/organizations,https://igod.gov.in/assets/images/DhNsIHQBsvhI6u6Q3tju.png
Transport & Infrastructure,https://igod.gov.in/sector/CRNsIHQBsvhI6u6Q3tju/organizations,https://igod.gov.in/assets/images/CRNsIHQBsvhI6u6Q3tju.png
Youth Affairs & Sports,https://igod.gov.in/sector/BhNsIHQBsvhI6u6Q3tju/organizations,https://igod.gov.in/assets/images/BhNsIHQBsvhI6u6Q3tju.png
